Availability Information,Related Information,Status,Availability Status
Next Delivery: December 2019; Estimated Recovery: November 2020,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Backordered. Next release January 2020.,Check wholesalers for inventory.,Current,not available
Backordered.  Next release date not available at this time.,,Current,not available
Next Delivery: February 2020; Estimated Recovery: August 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery and Estimated Recovery: May 2020,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: December 2019; Estimated Recovery: June 2021,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Limited Supply Available. Next Delivery and Estimated Recovery: March 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Next Delivery and Estimated Recovery: June 2021,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Limited Supply Available. Next Delivery: December 2019; Estimated Recovery: June 2021,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Next Delivery: January 2020; Estimated Recovery: March 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Currently backordered,Next shipment TBD,Current,not available
Next Delivery: December 2019; Estimated Recovery: March 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Limited Supply Available. Next Delivery: December 2019; Estimated Recovery: February 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Limited Supply Available. Next Delivery: December 2019; Estimated Recovery: January 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Next Delivery and Estimated Recovery: December 2019,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery and Estimated Recovery: April 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: December 2019; Estimated Recovery: February 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: January 2020; Estimated Recovery: February 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: March 2020; Estimated Recovery: May 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: January 2020; Estimated Recovery: June 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: December 2019; Estimated Recovery: April 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Currently out of stock. Re-supply by the first week of June 2019.,,Current,not available
"Sufficient stocks available to support customer demand; Product not on allocation effective Dec 1, 2019",,Current,available
Unavailable,This was a business-related decision to discontinue manufacturing these products,Current,not available
Unavailable. Re-supply: November 2019,,Current,not available
Next Delivery: April 2020; Estimated Recovery: December 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: December 2019; Estimated Recovery: August 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Intermittent supply,"IMS is releasing product, but market demand continues to exceed our capacity",Current,limited availability
Limited availability.,,Current,limited availability
Endo has made a business decision to permanently discontinue Carisoprodol 350mg tablets.,,Current,discontinued
Available. On allocation. Estimated availability March,,Current,limited availability
Available. On allocation. Estimated availability January,,Current,limited availability
Available. On allocation,,Current,limited availability
Product on allocation to contracted customers,,Current,limited availability
On backorder - Product continues to be manufactured with monthly releases.,Please check wholesalers for available inventory.,Current,limited availability
Next Delivery and Estimated Recovery: March 2021,Shortage per Manufacturer: Manufacturing Delay,Current,not available
This presentation is temporarily on backorder.,Product will be made available as it is released.,Current,not available
Limited availablity until February 2020,,Current,limited availability
Product on allocation for existing customers,,Current,limited availability
Product on allocation to contracted custormers,,Current,limited availability
On allocation,,Current,limited availability
Currently unavailable,On backorder. Shortage duration is unknown at this time.,Current,not available
Product available,,Current,available
No release date available at this time.,,Current,not available
Product is temporarily discontinued,Product manufactured by Hospira,Current,discontinued
Backordered.  Next release January 2020.,Check wholesalers for inventory,Current,not available
On backorder. Product continues to be manufactured with monthly releases. Estimated availability Feb-2020,,Current,not available
On allocation. Product continues to be manufactured with monthly releases. Estimated availability Jan-2020,,Current,limited availability
On backorder.  Next release December.,Please check wholesalers for available inventory.,Current,not available
Currently available,Check wholesalers for inventory,Current,available
Backordered — next shipment anticipated late Oct. 2019.,Intermittent availability expected.,Current,not available
Currently in Stock (we have capacity constraint but product available at this time). Estimated Release Dates: Released Product Available,,Current,available
"Available, additional lots manufactured Jan/feb 2020.",,Current,available
Inventory is currently available,Product will be made available as it is released.,Current,available
Next Delivery: December 2019; Estimated Recovery: June 2020,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Out of Stock. Resupply is Q4 2019.,,Current,not available
Temporarily backorderd. Additional lots available end of December 2019 and additional product manufactured Jan/Feb 2020.,,Current,not available
Next Delivery and Estimated Recovery: March 2020,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Unavailable. Estimated recovery Dec 2019,,Current,not available
Next Delivery and Estimated Recovery: August 2020,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Availability and estimated duration of supply interruption is unknown,,Current,unclear
Next delivery: February 2020,,Current,not available
Next Delivery: December 2019; Estimated Recovery: May 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: March 2020; Estimated Recovery: June 2020,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery and Estimated Recovery: June 2020,Shortage per Manufacturer: Manufacturing Delay,Current,not available
"Limit availability / Recovery expected Q1, 2020","Manufacturer interruption production issues.  Marketed by Hi-Tech Pharmacal Co., Inc. To order, contact Akorn Customer Service (1-800-932-5676)",Current,limited availability
Supply available,"Labeled under Sandoz Inc. To order, contact Sandoz Inc. at 1-800-525-8747",Current,available
Intermittent backorders through Q1 2020. Estimated availability: Late January 2020/February 2020,"Marketed by Bausch & Lomb Inc. To order, contact Bausch & Lomb, a division of Valeant Pharmaceuticals North America at pharcs@valeant.com",Current,limited availability
Product is available,"For additional information please contact: Merck National Service Center, Telephone Number: 1-800-672-6372",Current,available
Currently on backorder. Estimated availability: January 2020,"Marketed by Bausch & Lomb Inc. To order, contact Bausch & Lomb, a division of Bausch Health US, LLC at pharcs@bauschhealth.com",Current,not available
Next delivery and Estimated recovery: Q3 2020,Shortage per manufacturer: Manufacturing Delay,Current,not available
Next Delivery: March 2020;  Estimated Recovery: June 2020,Shortage per manufacturer: Manufacturing Delay,Current,not available
Limited Supply Available. Next Delivery: December 2019; Estimated Recovery: August 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
On allocation to current customers.,,Current,limited availability
Out of stock. Resupply TBD,,Current,not available
On backorder,"Expected availability Oct 1, 2019",Current,not available
No longer distributing,,Current,discontinued
Discontinued,,Current,discontinued
Limited Supply Available. Next Delivery and Estimated Recovery: January 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Out of Stock. Resupply is Q1 2020.,,Current,not available
On backorder. Estimated availability January 2020,,Current,not available
"This was a business-related decision to discontinue manufacturing these products. TEVA is replacing this same strength product under NDC 0228-2636-11 Gabapentin Tablets, 600mg, 100 count.",,To be Discontinued,discontinued
"This was a business-related decision to discontinue manufacturing these products. TEVA is replacing this same strength product under NDC 0228-2636-50 Gabapentin Tablets, 600mg, 500 count.",,To be Discontinued,discontinued
This was a business-related decision to discontinue manufacturing these products.,,To be Discontinued,discontinued
"This was a business-related decision to discontinue manufacturing these products. TEVA is replacing this same strength product under NDC 0228-2637-11 Gabapentin Tablets, 800mg, 100 count.",,To be Discontinued,discontinued
"This was a business-related decision to discontinue manufacturing these products. TEVA is replacing this same strength product under NDC 0228-2637-50 Gabapentin Tablets, 600mg, 500 count.",,To be Discontinued,discontinued
Estimated recovery to be determined.,License to manufacture and distribute FACTIVE is under legal dispute.,Current,unclear
Unavailable. Estimated recovery: Q1 2020.,,Current,not available
"Available, however limited supply until mid December 2019",,Current,limited availability
Backordered.  Next release not available at this time.,Check wholesalers for inventory,Current,not available
Temporarily on backorder.,Additional lots will be scheduled for manufacturing as needed.  Product will be made available as it is released.,Current,not available
Next Delivery: January 2020; Estimated Recovery: June 2021,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery and Estimated Recovery: January 2020,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: April 2020; Estimated Recovery: August 2020,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Unavailable. Estimataed recovery Dec 2019,"Expected availability Dec, 2019",Current,not available
Check wholesalers for inventory,Check wholesalers for inventory,Current,unclear
Backordered. Next release date not available at this time.,Check wholesalers for inventory,Current,not available
Limited monthly supply through September due to increase in demand.  Working to increase production to meet current demand.,,Current,limited availability
Expected to be on allocation until sometime in 1Q20.,,Current,limited availability
Next delivery and Estimated recovery: July 2020,Shortage per manufacturer: Manufacturing Delay,Current,not available
"Due to the current critical shortage of Isocarboxazid Tablets in the United States (US) market, Validus Pharmaceuticals LLC is coordinating with the U.S. Food and Drug Administration (FDA) to increase the availability of Isocarboxazid Tablets. Validus has initiated temporary importation of another manufacturer’s Isocarboxazid Tablets into the U.S. market.  This product is manufactured and marketed in Denmark by MediLink. MediLink's Marplan is commercially available under a new NDC 72604-032-01.",,Current,available
Next Delivery: February 2020; Estimated Recovery: June 2020,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Product is currently available.,,Current,available
Unavailable - Discontinuation of the manufacture of the drug,,Current,discontinued
Backordered. Estimated availability TBD,,Current,not available
Next Delivery: August 2020; Estimated Recovery: June 2021,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: August 2020; Estimated Recovery: December 2020,Shortage per Manufacturer: Manufacturing Delay,Current,not available
"Unavailable, shortage recovery TBD.",,Current,unclear
Unavailable (anticipated delivery in January 2020),FOR INTRAVENOUS AND INTRAMUSCULAR USE. 30mg/mL (1 mL fill volume/ 2 mL container),Current,not available
Next Delivery and Estimated Recovery: January 2021,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: December 2019;  Estimated Recovery: March 2020,Limited Supply Available.  Please check with your wholesaler for available inventory,Current,not available
On allocation. Estimated availability Mar-2020,,Current,limited availability
Backordered. Estimated availability May-2020,,Current,not available
Backordered. Estimated availability May-2021,,Current,not available
"Backorder, Estimated Resupply February 2020",,Current,not available
"Back-order, Estimated re-supply: TBD",,Current,not available
Continuous production but will be on/off backorder,,Current,limited availability
Long-term backorder for all skus. No estimated release date at this time.,,Current,not available
Will remain on backorder for few months,"Due to shortage, API is being allocated between the different strengths",Current,not available
"Unavailable, recovery in January 2020",,Current,not available
Currently on backorder,Next shipment expected Jan. 2020,Current,not available
Unavailable-No product available for release. No plan to manufacture.,"American Regent/Luitpold has discontinued manufacturing Lidocaine HCl Injection, USP",Current,discontinued
Next Delivery and  Estimated Recovery: March 2020,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Backordered. Next release not available at this time.,Check wholesalers for inventory.,Current,not available
Backordered. Next release December 2019.,Check wholesalers for inventory.,Current,not available
Backordered. No release expectations at this time.,,Current,not available
Next Delivery and Estimated Recovery: February 2020,Shortage per Manufacturer: Manufacturing Delay,Current,not available
"Currently available, in stock Production is ongoing",,Current,available
Next delivery: January 2020 Estimated Recovery: December 2020,Shortage per manufacturer: Manufacturing Delay,Current,not available
Limited Supply Available. Next Delivery and Estimated Recovery: August 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
"Out of stock, estimated availability in January/February 2020",Additional lots are scheduled for release in the January/February timeframe. Product will be made available as it is released.,Current,not available
Allocating Inventory,Additional lots are scheduled for release in the January/February timeframe.,Current,limited availability
End Q1 2020,,Current,not available
Backordered. Estimated recovery February/March 2020,,Current,not available
Limited availability; Estimated shortage until March 2020,,Current,limited availability
Unavailable. Estimated recovery: Q1 2020,,Current,not available
Product available for contracted  customers,,Current,limited availability
Next Delivery: March 2020; Estimated Recovery: April 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: November 2020; Estimated Recovery: December 2020,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: June 2020; Estimated Recovery: December 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Limited Supply Available. Next Delivery: June 2020; Estimated Recovery: December 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Product availability will be limited as we resume production.,Resolution of product quality and manufacturing concerns.,Current,limited availability
Temporarily discontinued,,Current,discontinued
Temporarily on backorder. Supply available mid-December 2019,,Current,limited availability
Temporarily on backorder. Estimated availability: mid-December 2019,,Current,not available
Stocks available to support current customer demand,,Current,available
Availability: TBD,,Current,unclear
"Currently on backorder, next shipment expected Dec. 2019",Intermittent availability expected,Current,not available
"On backorder at this time due to increased demand, new material will be released in January 2020",,Current,not available
"On backorder at this time due to increased demand, new material will be released in January 2020.",,Current,not available
Next delivery: December 2019; Estimated recovery: March 2020,Please check with wholesaler for available inventory. Shortage per Manufacturer: Manufacturing Delay,Current,not available
To be determined.  Takeda is actively working to resolve the issue and resume supply.  Updates will be provided on an ongoing basis.,Important Information Regarding a Temporary Special Use Program for Obtaining and Using NATPARA® (Parathyroid Hormone) for Injection,Current,unclear
Available.  Please see link.,,Current,available
Available. Please see link.,,Current,available
Permanently discontinued,"Marketed by Sandoz, Inc.",Current,discontinued
Next Delivery: September 2019; Estimated Recovery: October 2019,Marketed by Hospira. Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Available - Less than one year dating,"Marketed by X-GEN Pharmaceuticals, Inc. Check wholesalers for inventory.",Current,limited availability
Stock sold out and new batches on backorder until week of 12/23/2019,,Current,not available
"Stock sold out. Product has arrived, will be available for sale wk of 12/9/19",,Current,limited availability
No backorder,,Current,available
Limited Supply Available. Next Delivery: December 2019; Estimated Recovery: March 2020,Check Wholesaler for Availability Shortage per manufacturer: Manufacturing Delay,Current,limited availability
Next Delivery: February 2020; Estimated Recovery: March 2020,Check Wholesaler for Availability Shortage per manufacturer: Manufacturing Delay,Current,not available
On allocation due to increased demand.,"Please check with wholesaler for availability. Additional production underway. Direct shipment to hospitals at 200 vials max per week are available from Exela. Customer Service # 828-758-5474, then press #2",Current,limited availability
On backorder.,Additional lots are scheduled to be manufactured.  Product will be made available as it is released.,Current,not available
Unavailable.,,Current,not available
Short-dated product available exp. Aug. 2020,Next shipment TBD,Current,limited availability
Limited Supply Available. Next Delivery: January 2020; Estimated Recovery: March 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Next Delivery: December 2019; Estimated Recovery: December 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Available direct or through Premier's ProvideGx program at this time and through CIVICA Rx program in Q1 2020.,,Current,available
Next Delivery and Estimated Recovery:  August 2020,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Unavailable. Estimated recovery: November 2019,,Current,not available
Unavailable. Estimated recovery: December 2019,,Current,not available
Shortage duration from July 2019 to May 2020. We would be temporarily discontinuing this product until May 2020. We will allocate any product we do have available based on API availability,,Current,limited availability
"Currently, we do not distribute this product strength and NDC. We are evaluating options to potentially re-launch this product strength.",,Current,not available
Available; product under allocation,,Current,limited availability
Unavailable. Estimated re-supply: March 2020.,,Current,not available
Available ; Will cater to the entire market demand,,Current,available
Unavailable. Estimated Shortage Duration: December 2019,,Current,not available
"Limited supply available, on allocation, release of recently received stock expected end-4Q2019.",,Current,limited availability
"Estimated release September 7, 2018",,Current,not available
Currently not marketing this product,Subject to nationwide voluntary recall,Current,discontinued
Manufacturing resumes from September  2018 dependent on API supplies.,Manufacturing stopped temporarily and currently not supplying.,Current,unclear
Manufacture of the drug  has been discontinued,Discontinuation of the manufacture of the drug,Current,discontinued
Product available to existing customers.,,Current,limited availability
Available on allocation for direct and drop ship orders.  Please contact customer service (888)-386-1300.  Next release January 2020.,Check wholesalers for inventory,Current,limited availability
Shortage anticipated from June 2020; Estimated shortage duration:  Unknown,,Current,limited availability
"Limited inventory, on allocation",,Current,limited availability
Limited Supply Available. Next Delivery: December 2020; Estimated Recovery: March 2021,,Current,limited availability
Limited availability,"American Regent is currently releasing the 0.4mg/mL, 1 mL vial, NDC 00517-0401-25",Current,limited availability
Availability limited to product already in pharmacies until resumption of manufacturing in the second half of 2020,Currently qualifying alternate supplier of inactive ingredient,Current,limited availability
Currently unavailable.  Duration of the shortage is yet to be determined.,,Current,not available
Limited Supply Available. Next Delivery: November 2020; Estimated Recovery: December 2020,Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Backordered.  Next release November 2020.,Check wholesalers for inventory.,Current,not available
Backordered. Next release November 2020.,Check wholesalers for inventory.,Current,not available
Currently on backorder - next shipment TBD,Sporadic availability expected.,Current,not available
Currently on backorder - next shipment anticipated end of Nov 20,Sporadic availability expected.,Current,not available
Stocked out - recovery TBD,SPINAL 0.75% - Sterile Hyperbaric Solution for Spinal Anesthesia,Current,not available
Limited Supply Available. Next Delivery and Estimated Recovery: November 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Limited Supply Available. Next Delivery and Estimated Recovery: February 2021,,Current,limited availability
Available.,,Current,available
On Allocation. Estimated availability Nov 2020,,Current,limited availability
Product not available,,Current,not available
8 mos expiry available by request. Next release December 2020.,Check wholesalers for inventory,Current,limited availability
On backorder. Estimated availability Dec 2020,,Current,not available
On allocation. Estimated availability Nov 2020,,Current,limited availability
Product availability is planned for 18-Sep-2020.,"Distributor-Salix Pharmaceuticals, Inc.: 1-800-321-4576",Current,not available
Limited supply available. Please contact wholesaler for availability. Somerset is ramping up production to meet increased demand.,,Current,limited availability
"Backordered. Next Delivery: July 2020, August 2020 and November 2020.",Prioritized manufacturing and increased production due to overall demand.,Current,not available
Backordered. Next release Q2 - 2021.,Check wholesalers for inventory,Current,not available
Backordered. Next release Q2 2021.,Check wholesalers for inventory,Current,not available
Limited Supply Available. Next Delivery and Estimated Recovery: December 2020,,Current,limited availability
Limited Supply Available. Next Delivery: November 2020; Estimated Recovery: March 2021,,Current,limited availability
Product available for existing clients/business,"Distributed by Bausch + Lomb, a division of Bausch Health US, LLC – 1-800-321-4576",Current,limited availability
Not available/ Estimated availability March 2021,Manufacturing Delays,Current,not available
Shortage anticipated from November 2020; Estimated shortage duration:  Unknown,"For more information please contact 1-866-634-2765, Leadiant@tmac.com, or go to  www.leadiant.com",Current,unclear
Backordered — next shipment TBD,Sporadic availability expected.,Current,not available
"3, 4, 5 month expiry available by request.  Next release November 2020.",Check wholesalers for inventory.,Current,limited availability
Initial availability targeted for end of November 2020,Sporadic availability expected.,Current,not available
Backordered. Next release December 2020.,,Current,not available
"Currently on backorder, estimated to continue until Dec 2020.",,Current,not available
Out of Stock. Resupply TBD.,,Current,not available
Product is currently on allocation.,Additional lots will be scheduled for manufacturing.  Product will be made available as it is released.,Current,limited availability
This presentation is temporarily on backorder,Additional lots will be scheduled for manufacturing.  Product will be made available as it is released.,Current,not available
Next Delivery and Estimated Recovery: February 2022,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Backorder. Estimated recovery March 2020.,,Current,not available
Backorder. Estimated recovery March 2020,,Current,not available
Product is currently on backorder. Estimated shortage duration is until Jan 2021,Estimated recovery 1Q2021,Current,not available
Next Delivery: January 2021; Estimated Recovery: June 2021,Check Wholesaler for Availablility Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: November 2020; Estimated Recovery: October 2021,Check Wholesaler for Availablility Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: November 2020; Estimated Recovery: May 2021,Check Wholesaler for Availablility Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: February 2021; Estimated Recovery: September 2021,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Limited Supply Available. Next Delivery: March 2021; Estimated Recovery: September 2021,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Limit availability / Recovery expected July 2020.,"Manufacturer interruption production issues.  Marketed by Hi-Tech Pharmacal Co., Inc. To order, contact Akorn Customer Service (1-800-932-5676)",Current,limited availability
Supply Available,"Labeled under Sandoz Inc. To order, contact Sandoz Inc. at 1-800-525-8747",Current,available
Backordered.  Next release expected November 2020.,Check wholesalers for inventory,Current,not available
Currently on backorder - next shipment anticipated mid Dec 20,Check wholesalers for inventory.,Current,not available
TBD,,Current,unclear
Backordered. Next release Q4 2020.,Check wholesalers for inventory,Current,not available
"On backorder, expected recovery in Q4, 2020","This product is on allocation, however we are satisfying historical committed customer demand.",Current,not available
"We do have some stock, however, due to such high demand, we cannot send to all customers. We send as much as we can.","We are still shipping products. However, we are limited due to manufacturing capabilities, as well as limited resources such as active ingredient.",Current,limited availability
Next Delivery and Estimated Recovery: January 2023,,Current,not available
Limited Supply Available.,,Current,limited availability
Limited Supply Available. Next Delivery: November 2020; Estimated Recovery: February 2021,,Current,limited availability
Currently not available,Inventory available in vial presentations.,Current,not available
On backorder. Estimated availability end of April 2020,,Current,not available
Backordered — next shipments anticipated Jan 21,Intermittent availability expected.,Current,not available
Unavailable. Estimated recovery TBD.,,Current,not available
Limited Supply Available. Next Delivery: November 2020; Estimated Recovery: July 2021,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Expected availability February 2021,,Current,not available
Not available,Not available,Current,not available
On allocation / Recovery expected March 2021,Manufacturer interruption production issues.,Current,limited availability
Not available and no plans to manufacture at this time.,,Current,discontinued
Next Delivery: December 2020; Estimated Recovery: TBD,Shortage per Manufacturer: Manufacturing Delay,Current,unclear
Next Delivery and Estimated Recovery: October 2020,,Current,not available
Backorderd. Next release December 2020.,Check wholesalers for inventory,Current,not available
Next Delivery and Estimated Recovery: November 2020,,Current,not available
"Product is on back order, estimated release not sooner than December 2020",Product is on back order due to manufacturing interruptions; capacity impacted due to COVID-19 Pandemic,Current,not available
Next delivery and Estimated recovery: January 2021,Shortage per manufacturer: Manufacturing Delay,Current,not available
Backordered due to increased demand.  Expected recovered date is September 2020.,,Current,not available
"Backordered, next shipment in November","Marketed by Athenex. To order, contact Athenex at 855-273-0154",Current,not available
"Stocked out, Recovery mid-November 2020",FOR INTRAVENOUS AND INTRAMUSCULAR USE. 15 mg/mL (1 mL fill volume/ 2 mL container),Current,not available
Backordered. Estimated availability Dec-2020,,Current,not available
Backordered. Next release July 2020.,Check Wholesaler Inventory,Current,not available
On backorder. Units expected to be received by November. Further replenishment expected to be received in December,,Current,not available
On backorder; Additional lots coming in late November 2020,,Current,not available
On backorder. Units expected in October,,Current,not available
Available; Additional Units expected to release by mid-November,,Current,limited availability
On backorder. Units expected to be released by mid-November,,Current,not available
Available; Additional units released early October 2020,,Current,available
On backorder. Next units expected to release by mid-November,,Current,not available
On backorder. Units expected to be released in December,,Current,not available
Next Delivery and Estimated Recovery: August 2021,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Limited Supply Available. Next Delivery: November 2020; Estimated Recovery: May 2021,Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Next Delivery and Estimated Recovery: July 2021,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Not available at this time.,,Current,not available
Next Delivery: January 2021; Estimated Recovery: January 2022,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: September 2022; Estimated Recovery: December 2022,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: November 2020; Estimated Recovery: December 2022,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Currently on backorder - next shipment anticipated in Jan 21,Sporadic availability expected.,Current,not available
Limited Supply Available. Next Delivery and Estimated Recovery: January 2021,,Current,limited availability
Backorered. Next release December 2020.,Check wholesalers for inventory.,Current,not available
"Unavailable, Estimated Shortage: TBD",,Current,not available
Next Delivery and Estimated Recovery: February 2023,Shortage per manufacturer: Manufacturing Delay,Current,not available
Allocating Inventory. Additional lots are scheduled for release in the January timeframe. Product will be made available as it is released (allocating inventory).,Manufacturing capacity constraint,Current,limited availability
Allocating Inventory. Additional lots are scheduled for release in the December timeframe. Product will be made available as it is released (allocating inventory).,Manufacturing capacity constraint,Current,limited availability
Unavailable. Additional lots are scheduled for release in the December timeframe. Product will be made available as it is released (allocating inventory).,Manufacturing capacity constraint,Current,limited availability
Unavailable. Re-supply TBD.,,Current,not available
"On backorder, (recovery expected Jan 2021)",Cannot support additional business currently.,Current,not available
Backordered. Estimated recovery March 2020,,Current,not available
Limited supply. On allocation for 2020.,Cannot supply market demand.,Current,limited availability
8 month dating (expiry 7/31/2021) available by request.,Check wholesalers for inventory,Current,limited availability
Next delivery and Estimated Recovery: June 2021,Shortage per Manufacturer: Manufacturing Delay,Current,not available
On backorder – increase demand due to Covid-19; resupply date end of November 2020,,Current,not available
No stock available. Resupply December 2020,"Marketing partner: Athenex Pharmaceutical Division, LLC.",Current,not available
"No stock available, Resupply July 2020",Marketing partner: Alvogen Inc.,Current,not available
"No stock available, Resupply December 2020","Marketing partner: Athenex Pharmaceutical Division, LLC.",Current,not available
Stock available. Additional resupply June 2020,Marketing partner: Alvogen Inc.,Current,available
