Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
Alogliptin Tablets,Perrigo Company PLC,269-673-8451,"12.5mg, 30 Tablets (NDC 45802-0103-65)",Revised,12/10/2019,On backorder – expected release the week of late December/early January,"
","
",Demand increase for the drug,Endocrinology/Metabolism,Current,"
","
",8/14/2019,"
","
","
","
","
","
","
"
Alogliptin Tablets,Perrigo Company PLC,269-673-8451,"25mg, 30 Tablets (NDC 45802-0150-65)",Revised,12/10/2019,On backorder – expected release the week of 12/16/2019,"
","
",Demand increase for the drug,Endocrinology/Metabolism,Current,"
","
",8/14/2019,"
","
","
","
","
","
","
"
Alogliptin Tablets,Perrigo Company PLC,269-673-8451,"6.25mg, 30 Tablets (NDC 45802-0087-65)",Revised,12/10/2019,On backorder – expected release the week of 01/27/2020,"
","
",Demand increase for the drug,Endocrinology/Metabolism,Current,"
","
",8/14/2019,"
","
","
","
","
","
","
"
Alogliptin Tablets,Takeda Pharmaceuticals USA Inc.,877-825-3327,"6.25 mg, 30 Tablets (NDC 64764-625-30)",Revised,1/7/2020,Available,"
","
","
",Endocrinology/Metabolism,Current,"
","
",8/14/2019,"
","
","
","
","
","
","
"
Alogliptin Tablets,Takeda Pharmaceuticals USA Inc.,877-825-3327,"12.5 mg, 30 Tablets (NDC 64764-125-30)",Revised,1/7/2020,Current shortage duration is projected through mid-February 2020.,"
","
","
",Endocrinology/Metabolism,Current,"
","
",8/14/2019,"
","
","
","
","
","
","
"
Alogliptin Tablets,Takeda Pharmaceuticals USA Inc.,877-825-3327,"25 mg, 30 Tablets (NDC 64764-250-30)",Revised,1/7/2020,Current shortage duration is projected through mid-February 2020.,"
","
","
",Endocrinology/Metabolism,Current,"
","
",8/14/2019,"
","
","
","
","
","
","
"
Amino Acids,B. Braun Medical Inc.,800-227-2862,"15% Amino Acid (Plenamine) Pharmacy Bulk Package in 1,000 mL plastic container, catalog S4500, (NDC 0264-4500-00)",Revised,9/24/2019,"
","
","
","
",Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/2019,"
",6/5/2019,"
","
","
","
","
","
","
"
Amino Acids,B. Braun Medical Inc.,800-227-2862,"15% Amino Acid (Plenamine) in 1,000mL glass container, catalog S3200-SS, (NDC 0264-3200-55)",Revised,9/24/2019,"
","
","
","
",Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/2019,9/24/2019,10/26/2017,"
","
","
","
","
","
","
"
Amino Acids,B. Braun Medical Inc.,800-227-2862,"10% FreAmine III (Amino Acid Injection) in 1,000mL glass container, catalog S9010-SS, (NDC 0264-9010-55)",Revised,9/24/2019,"
","
","
","
",Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/2019,"
",10/26/2017,"
","
","
","
","
","
","
"
Amino Acids,B. Braun Medical Inc.,800-227-2862,"TrophAmine (10% Amino Acid Injection) in 500mL glass container, catalog S9341-SS, (NDC 0264-9341-55)",Revised,9/24/2019,"
","
","
","
",Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/2019,"
",10/26/2017,"
","
","
","
","
","
","
"
Amino Acids,B. Braun Medical Inc.,800-227-2862,"TrophAmine (6% Amino Acid Injection) in 500mL glass container, catalog S9361-SS, (NDC 0264-9361-55)",Revised,9/24/2019,"
","
","
","
",Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/2019,"
",10/26/2017,"
","
","
","
","
","
","
"
Amino Acids,"ICU Medical, Inc.",877-946-7747,"AMINOSYN™-PF 7%, Sulfite-Free, 500 mL (NDC 0409-4178-03)",Revised,9/24/2019,"
","
","
","
",Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/2019,"
",10/26/2017,"
","
","
","
","
","
","
"
Amino Acids,"ICU Medical, Inc.",877-946-7747,"AMINOSYN II 10%, Sulfite-Free, (Pediatric Formula) 1000 mL (NDC 0409-4179-05)",Revised,9/24/2019,"
","
","
","
",Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/2019,"
",10/26/2017,"
","
","
","
","
","
","
"
Amino Acids,"ICU Medical, Inc.",877-946-7747,Aminosyn II 10% Sulfite-Free BLK PK 2000 mL (NDC 0409-7172-17),Revised,9/24/2019,"
","
","
","
",Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/2019,"
",10/26/2017,"
","
","
","
","
","
","
"
Amino Acids,"ICU Medical, Inc.",877-946-7747,Aminosyn II 15% Sulfite-Free BLK PK 2000 mL (NDC 0409-7171-17),Revised,9/24/2019,"
","
","
","
",Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/2019,"
",10/26/2017,"
","
","
","
","
","
","
"
Amino Acids,Baxter Healthcare,888-229-0001,"PREMASOL - sulfite-free (Amino Acid) Injection in VIAFLEX Plastic Container. Pharmacy Bulk Package. Not for Direct Infusion.  Product Codes: 2B0009 10% 1000 mL (NDC 0338-1130-04), 2B0010 10% 2000 mL (NDC 0338-1130-06),",Revised,9/24/2019,"
","
","
","
",Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/2019,"
",10/26/2017,"
","
","
","
","
","
","
"
,,,2B0012 10% 500 mL (NDC 0338-1130-03),,,,,,,,,,,,,,,,,,
Amino Acids,Baxter Healthcare,888-229-0001,"10% TRAVASOL (Amino Acid) Injection in VIAFLEX Plastic Container. Pharmacy Bulk Package. Not for Direct Infusion.  Product Codes: 1B6624 10% 1000 mL (NDC 0338-0644-04),",Revised,9/24/2019,"
","
","
","
",Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/2019,"
",11/2/2017,"
","
","
","
","
","
","
"
,,,"1B6623 10% 500 mL (NDC 0338-0644-03),",,,,,,,,,,,,,,,,,,
,,,1B6626P 10% 2000 mL (NDC 0338-0644-06),,,,,,,,,,,,,,,,,,
Amino Acids,Baxter Healthcare,888-229-0001,"15% CLINISOL - sulfite-free (Amino Acid) Injection in VIAFLEX Plastic Container. Pharmacy Bulk Package. Not for Direct Infusion.  Product Codes: 2B6189 15% 2000 mL (NDC 0338-0502-06), 2B6187 15% 500 mL (NDC 0338-0502-03)",Revised,9/24/2019,"
","
","
","
",Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/2019,"
",11/2/2017,"
","
","
","
","
","
","
"
Amino Acids,Baxter Healthcare,888-229-0001,"20% PROSOL - sulfite-free (Amino Acid) Injection, 2000 mL VIAFLEX Plastic Container. Pharmacy Bulk Package. Not for Direct Infusion.  Product Code 2B6186 (NDC 0338-0499-06)",Revised,9/24/2019,"
","
","
","
",Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/2019,"
",11/2/2017,"
","
","
","
","
","
","
"
Amino Acids,Baxter Healthcare,888-229-0001,CLINIMIX E sulfite-free (Amino Acid with Electrolytes in Dextrose with Calcium) Injection in CLARITY Dual Chamber Container,Revised,9/24/2019,"
","
","
","
",Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/2019,"
",11/2/2017,"
","
","
","
","
","
","
"
Amino Acids,Baxter Healthcare,888-229-0001,CLINIMIX sulfite-free (Amino Acid in Dextrose) Injection in CLARITY Dual Chamber Container,Revised,9/24/2019,"
","
","
","
",Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/2019,"
",11/2/2017,"
","
","
","
","
","
","
"
Amino Acids,Baxter Healthcare,888-229-0001,SYNTHAMIN 17 without Electrolytes - 10% Amino Acids Intravenous Infusion 3000 mL. Product code FKB6642.  Pack factor 3  (NDC 0338-9575-03),Revised,9/24/2019,"
","
","
","
",Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/2019,"
",11/9/2017,"
","
","
","
","
","
","
"
Amino Acids,Baxter Healthcare,888-229-0001,"CLINIMIX N9G15E-Solution for Infusion, 1000 mL (2.75% Amino Acid in 7.5% Glucose with Electrolytes). Product code FKB6669C - Pack factor of 8 (NDC 0338-9570-08)",Revised,9/24/2019,"
","
","
","
",Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/2019,"
",11/9/2017,"
","
","
","
","
","
","
"
Amino Acids,Baxter Healthcare,888-229-0001,"CLINIMIX N9G20E-Solution for Infusion, 1000 mL  (2.75% Amino Acid in 10% Glucose with Electrolytes) Product code FKB6670C - Pack factor of 8 ",Revised,9/24/2019,"
","
","
","
",Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/2019,"
",11/9/2017,"
","
","
","
","
","
","
"
,,,(NDC 0338-9566-08),,,,,,,,,,,,,,,,,,
Amino Acids,Baxter Healthcare,888-229-0001,"CLINIMIX N14G30E-Solution for Infusion, 2000 mL (4.25% Amino Acid in 15% Dextrose with Electrolytes) Product code FKB6654V - Pack factor of 4 (NDC 0338-9587-04)",Revised,9/24/2019,"
","
","
","
",Gastroenterology;Pediatric;Total Parenteral Nutrition,Resolved,9/24/2019,"
",11/9/2017,"
","
","
","
","
","
","
"
"Aminophylline Injection, USP","Hospira, Inc.",844-646-4398,250 mg/10mL (25 mg/mL) Single Dose Glass Fliptop Vial (NDC 0409-5921-01),Revised,3/25/2020,Available,"
","
",Other,Pulmonary/Allergy,Current,"
","
",7/24/2018,"
","
","
","
","
","
","
"
"Aminophylline Injection, USP","Hospira, Inc.",844-646-4398,500 mg/20mL (25 mg/mL) Single Dose Glass Fliptop Vial (NDC 0409-5922-01),Revised,3/25/2020,Available,"
","
",Other,Pulmonary/Allergy,Current,"
","
",7/24/2018,"
","
","
","
","
","
","
"
Amiodarone Tablets,Sandoz,800-525-8747,"Amiodarone hydrochloride tablets, 200 mg, 60 count bottle (NDC 0185-0144-60)",New,2/23/2018,"
",Sandoz Inc. has made a business decision to permanently discontinue Amiodarone HCl Tablets.,"
","
",Cardiovascular,To be Discontinued,2/23/2018,2/23/2018,2/23/2018,"
","
","
","
","
","
","
"
Amiodarone Tablets,Sandoz,800-525-8747,"Amiodarone hydrochloride tablets, 200 mg, 90 count bottle (NDC 0185-0144-09)",New,2/23/2018,"
",Sandoz Inc. has made a business decision to permanently discontinue Amiodarone HCl Tablets.,"
","
",Cardiovascular,To be Discontinued,2/23/2018,2/23/2018,2/23/2018,"
","
","
","
","
","
","
"
Amiodarone Tablets,Sandoz,800-525-8747,"Amiodarone hydrochloride tablets, 200 mg, 500 count bottle (NDC 0185-0144-05)",New,2/23/2018,"
",Sandoz Inc. has made a business decision to permanently discontinue Amiodarone HCl Tablets.,"
","
",Cardiovascular,To be Discontinued,2/23/2018,2/23/2018,2/23/2018,"
","
","
","
","
","
","
"
Amiodarone Tablets,Sandoz,800-525-8747,"Amiodarone hydrochloride tablets, 400 mg, 500 count bottle (NDC 0245-0145-15)",New,2/23/2018,"
",Sandoz Inc. has made a business decision to permanently discontinue Amiodarone HCl Tablets.,"
","
",Cardiovascular,To be Discontinued,2/23/2018,2/23/2018,2/23/2018,"
","
","
","
","
","
","
"
Amiodarone Tablets,Sandoz,800-525-8747,"Amiodarone hydrochloride tablets, 400 mg, 30 count bottle (NDC 0245-0145-30)",New,2/23/2018,"
",Sandoz Inc. has made a business decision to permanently discontinue Amiodarone HCl Tablets.,"
","
",Cardiovascular,To be Discontinued,2/23/2018,2/23/2018,2/23/2018,"
","
","
","
","
","
","
"
Amitriptyline Hydrochloride Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,"10 mg, 100 count bottle (NDC 0378-2610-01)",New,5/2/2019,"
","
","
","
",Psychiatry,To be Discontinued,5/2/2019,5/2/2019,5/2/2019,"
","
","
","
","
","
","
"
Amitriptyline Hydrochloride Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,"10 mg, 1000 count bottle (NDC 0378-2610-10)",New,5/2/2019,"
","
","
","
",Psychiatry,To be Discontinued,5/2/2019,5/2/2019,5/2/2019,"
","
","
","
","
","
","
"
Amitriptyline Hydrochloride Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,"25 mg, 100 count bottle (NDC 0378-2625-01)",New,5/2/2019,"
","
","
","
",Psychiatry,To be Discontinued,5/2/2019,5/2/2019,5/2/2019,"
","
","
","
","
","
","
"
Amitriptyline Hydrochloride Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,"25 mg, 1000 count bottle (NDC 0378-2625-10)",New,5/2/2019,"
","
","
","
",Psychiatry,To be Discontinued,5/2/2019,5/2/2019,5/2/2019,"
","
","
","
","
","
","
"
Amitriptyline Hydrochloride Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,"50 mg, 100 count bottle (NDC 0378-2650-01)",New,5/2/2019,"
","
","
","
",Psychiatry,To be Discontinued,5/2/2019,5/2/2019,5/2/2019,"
","
","
","
","
","
","
"
Amitriptyline Hydrochloride Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,"50 mg, 1000 count bottle (NDC 0378-2650-10)",New,5/2/2019,"
","
","
","
",Psychiatry,To be Discontinued,5/2/2019,5/2/2019,5/2/2019,"
","
","
","
","
","
","
"
Amitriptyline Hydrochloride Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,"75 mg, 100 count bottle (NDC 0378-2675-01)",New,5/2/2019,"
","
","
","
",Psychiatry,To be Discontinued,5/2/2019,5/2/2019,5/2/2019,"
","
","
","
","
","
","
"
Amitriptyline Hydrochloride Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,"100 mg, 100 count bottle (NDC 0378-2685-01)",New,5/2/2019,"
","
","
","
",Psychiatry,To be Discontinued,5/2/2019,5/2/2019,5/2/2019,"
","
","
","
","
","
","
"
Amitriptyline Hydrochloride Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,"150 mg, 100 count bottle (NDC 0378-2695-01)",New,5/2/2019,"
","
","
","
",Psychiatry,To be Discontinued,5/2/2019,5/2/2019,5/2/2019,"
","
","
","
","
","
","
"
Amlodipine Besylate and Benazepril Hydrochloride Capsules,Teva Pharmaceuticals,800-545-8800,2.5 mg/10 mg (NDC 0093-7370-01),New,6/5/2019,"
",This was a business-related decision to discontinue manufacturing these products,"
","
",Cardiovascular,To be Discontinued,6/5/2019,6/5/2019,6/5/2019,"
","
","
","
","
","
","
"
Amlodipine Besylate and Benazepril Hydrochloride Capsules,Teva Pharmaceuticals,800-545-8800,5 mg/10 mg (NDC 0093-7371-01),New,6/5/2019,"
",This was a business-related decision to discontinue manufacturing these products,"
","
",Cardiovascular,To be Discontinued,6/5/2019,6/5/2019,6/5/2019,"
","
","
","
","
","
","
"
Amlodipine Besylate and Benazepril Hydrochloride Capsules,Teva Pharmaceuticals,800-545-8800,5 mg/20 mg (NDC 0093-7372-01),New,6/5/2019,"
",This was a business-related decision to discontinue manufacturing these products,"
","
",Cardiovascular,To be Discontinued,6/5/2019,6/5/2019,6/5/2019,"
","
","
","
","
","
","
"
Amlodipine Besylate and Benazepril Hydrochloride Capsules,Teva Pharmaceuticals,800-545-8800,5 mg/40 mg (NDC 0093-7670-01),New,6/5/2019,"
",This was a business-related decision to discontinue manufacturing these products,"
","
",Cardiovascular,To be Discontinued,6/5/2019,6/5/2019,6/5/2019,"
","
","
","
","
","
","
"
Amlodipine Besylate and Benazepril Hydrochloride Capsules,Teva Pharmaceuticals,800-545-8800,10 mg/20 mg (NDC 0093-7373-01),New,6/5/2019,"
",This was a business-related decision to discontinue manufacturing these products,"
","
",Cardiovascular,To be Discontinued,6/5/2019,6/5/2019,6/5/2019,"
","
","
","
","
","
","
"
Amlodipine Besylate and Benazepril Hydrochloride Capsules,Teva Pharmaceuticals,800-545-8800,10 mg/40 mg (NDC 0093-7671-01),New,6/5/2019,"
",This was a business-related decision to discontinue manufacturing these products,"
","
",Cardiovascular,To be Discontinued,6/5/2019,6/5/2019,6/5/2019,"
","
","
","
","
","
","
"
Amlodipine Besylate and Olmesartan Medoxomil Tablets,"Actavis LLC, an indirect wholly owned subsidiary of Teva Pharmaceuticals USA, Inc.",800-545-8800,5 mg/20 mg tablets (NDCs 0093-7027-56 and 0093-7027-98),New,3/11/2019,"
",This product discontinuation is a business related decision.,"
","
",Cardiovascular,To be Discontinued,3/11/2019,3/11/2019,3/11/2019,"
","
","
","
","
","
","
"
Amlodipine Besylate and Olmesartan Medoxomil Tablets,"Actavis LLC, an indirect wholly owned subsidiary of Teva Pharmaceuticals USA, Inc.",800-545-8800,5 mg/40 mg tablets (NDCs 0093-7028-56 and 0093-7028-98),New,3/11/2019,"
",This product discontinuation is a business related decision.,"
","
",Cardiovascular,To be Discontinued,3/11/2019,3/11/2019,3/11/2019,"
","
","
","
","
","
","
"
Amlodipine Besylate and Olmesartan Medoxomil Tablets,"Actavis LLC, an indirect wholly owned subsidiary of Teva Pharmaceuticals USA, Inc.",800-545-8800,10 mg/20 mg tablets (NDCs 0093-7029-56 and 0093-7029-98),New,3/11/2019,"
",This product discontinuation is a business related decision.,"
","
",Cardiovascular,To be Discontinued,3/11/2019,3/11/2019,3/11/2019,"
","
","
","
","
","
","
"
Amlodipine Besylate and Olmesartan Medoxomil Tablets,"Actavis LLC, an indirect wholly owned subsidiary of Teva Pharmaceuticals USA, Inc.",800-545-8800,10 mg/20 mg tablets (NDCs 0093-7030-56 and 0093-7030-98),New,3/11/2019,"
",This product discontinuation is a business related decision.,"
","
",Cardiovascular,To be Discontinued,3/11/2019,3/11/2019,3/11/2019,"
","
","
","
","
","
","
"
Amoxapine Tablets,Teva Pharmaceuticals,800-545-8800,"50 mg, 100 tablets (NDC 0591-5714-01)",Reverified,3/17/2020,Unavailable. Estimated supply availability June 2020.,"
","
",Other,Psychiatry,Current,3/9/2020,"
",3/9/2020,"
","
","
","
","
","
","
"
Amoxapine Tablets,Teva Pharmaceuticals,800-545-8800,"25 mg, 100 tablets (NDC 0591-5713-01)",Reverified,3/17/2020,Unavailable. Estimated supply availability June 2020.,"
","
",Other,Psychiatry,Current,3/9/2020,"
",3/9/2020,"
","
","
","
","
","
","
"
Amoxapine Tablets,Teva Pharmaceuticals,800-545-8800,"100 mg, 100 tablets (NDC 0591-5715-01)",Reverified,3/17/2020,Unavailable. Estimated supply availability June 2020.,"
","
",Other,Psychiatry,Current,3/9/2020,"
",3/9/2020,"
","
","
","
","
","
","
"
Amoxapine Tablets,Teva Pharmaceuticals,800-545-8800,"150 mg, 100 tablets (NDC 0591-5716-01)",Reverified,3/17/2020,Unavailable. Estimated supply availability June 2020,"
","
",Other,Psychiatry,Current,3/9/2020,"
",3/9/2020,"
","
","
","
","
","
","
"
Amoxicillin Powder for Suspension,Teva Pharmaceuticals,800-545-8800,"125 mg/5 mL powder for suspension (NDCs 0093-4150-73, 0093-4150-79 and 0093-4150-80)",New,6/3/2019,"
",This product discontinuation is a business related decision.,"
","
",Anti-Infective,To be Discontinued,6/3/2019,6/3/2019,6/3/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,877-993-8779,"5 mg, 100 Count Bottle (NDC 68382-950-01)",New,9/12/2019,Available; allocating inventory.,Product is on allocation to its current committed customers.,"
",Shortage of an active ingredient,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,877-993-8779,"7.5 mg, 100 Count Bottle (NDC 68382-951-01)",New,9/12/2019,Available; allocating inventory.,Product is on allocation to its current committed customers.,"
",Shortage of an active ingredient,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,877-993-8779,"10 mg, 100 Count Bottle (NDC 68382-952-01)",New,9/12/2019,Available; allocating inventory.,Product is on allocation to its current committed customers.,"
",Shortage of an active ingredient,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,877-993-8779,"12.5 mg, 100 Count Bottle (NDC 68382-953-01)",New,9/12/2019,Available; allocating inventory.,Product is on allocation to its current committed customers.,"
",Shortage of an active ingredient,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,877-993-8779,"15 mg, 100 Count Bottle (NDC 68382-954-01)",New,9/12/2019,Available; allocating inventory.,Product is on allocation to its current committed customers.,"
",Shortage of an active ingredient,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,877-993-8779,"20 mg, 100 Count Bottle (NDC 68382-955-01)",New,9/12/2019,Available; allocating inventory.,Product is on allocation to its current committed customers.,"
",Shortage of an active ingredient,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,877-993-8779,"30 mg, 100 Count Bottle (NDC 68382-956-01)",New,9/12/2019,Available; allocating inventory.,Product is on allocation to its current committed customers.,"
",Shortage of an active ingredient,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Sandoz,800-525-8747,"30 mg, 100 Count Bottle (NDC 0185-0864-01)",Reverified,3/30/2020,Available,"
","
",Demand increase for the drug,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Sandoz,800-525-8747,"20 mg, 100 Count Bottle (NDC 0185-0853-01)",Reverified,3/30/2020,Available,"
","
",Demand increase for the drug,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
