Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
Dexamethasone Sodium Phosphate Injection,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",800-631-2174,"4 mg/mL, 5 mL vial (NDC 0641-6146-25)",Revised,12/29/2020,Inventory is currently available,Additional lots are scheduled for manufacturing to meet demand.  Product will be made available as it is released.,"
",Other,Dermatology;Endocrinology/Metabolism;Gastroenterology;Hematology;Neurology;Oncology;Ophthalmology;Other;Pulmonary/Allergy;Rheumatology,Current,"
","
",2/8/2019,"
","
","
","
","
","
","
"
Dexamethasone Sodium Phosphate Injection,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",800-631-2174,"10 mg/mL, 1 mL vial (NDC 0641-0367-25)",Revised,12/29/2020,This presentation is temporarily on backorder.,Additional lots will be scheduled for manufacturing in the January  - February  2021 timeframe.  Product will be made available as it is released.,"
",Other,Dermatology;Endocrinology/Metabolism;Gastroenterology;Hematology;Neurology;Oncology;Ophthalmology;Other;Pulmonary/Allergy;Rheumatology,Current,"
","
",2/8/2019,"
","
","
","
","
","
","
"
Dexamethasone Sodium Phosphate Injection,"Fresenius Kabi USA, LLC",888-386-1300,"4 mg per 1 mL, Single dose Simplist syringe, preservative free (NDC 76045-106-10)",Revised,12/30/2020,Available,Check wholesalers for inventory.,"
",Increase in demand,Dermatology;Endocrinology/Metabolism;Gastroenterology;Hematology;Neurology;Oncology;Ophthalmology;Other;Pulmonary/Allergy;Rheumatology,Current,"
","
",2/8/2019,"
","
","
","
","
","
","
"
Dexamethasone Sodium Phosphate Injection,"Fresenius Kabi USA, LLC",888-386-1300,"10 mg per 1 mL, Single dose Simplist syringe, preservative free (NDC 76045-109-10)",Revised,12/30/2020,Available,Check wholesalers for inventory.,"
",Increase in demand,Dermatology;Endocrinology/Metabolism;Gastroenterology;Hematology;Neurology;Oncology;Ophthalmology;Other;Pulmonary/Allergy;Rheumatology,Current,"
","
",2/8/2019,"
","
","
","
","
","
","
"
Dexamethasone Sodium Phosphate Injection,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),866-850-2876,10 mg/1 mL SDV (NDC 55150-304-25),Revised,1/8/2021,Initial availability targeted by end of Jan 21,Sporadic availability expected.,"
",Demand increase for the drug,Dermatology;Endocrinology/Metabolism;Gastroenterology;Hematology;Neurology;Oncology;Ophthalmology;Other;Pulmonary/Allergy;Rheumatology,Current,"
","
",2/8/2019,"
","
","
","
","
","
","
"
Dexamethasone Sodium Phosphate Injection,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),866-850-2876,100 mg/10 mL MDV (contains preservative)(NDC 55150-305-10),Revised,1/8/2021,Available,Check wholesalers for inventory,"
",Demand increase for the drug,Dermatology;Endocrinology/Metabolism;Gastroenterology;Hematology;Neurology;Oncology;Ophthalmology;Other;Pulmonary/Allergy;Rheumatology,Current,"
","
",2/8/2019,"
","
","
","
","
","
","
"
Dexmedetomidine Injection,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",800-631-2174,"100 mcg/mL, 2 mL vial (NDC 0143-9532-25)",Revised,8/20/2020,Available,"
","
",Demand increase for the drug,Anesthesia,Current,"
","
",4/10/2020,"
","
","
","
","
","
","
"
Dexmedetomidine Injection,Sandoz,800-525-8747,"200 mcg/2 mL (100 mcg/mL) vial, box of 10 (NDC 0781-3297-95)",New,4/13/2020,"
",Permanent Discontinuation,"
","
",Anesthesia,To be Discontinued,4/13/2020,4/13/2020,4/13/2020,"
","
","
","
","
","
","
"
Dexmedetomidine Injection,Accord Healthcare Inc.,800-843-7477,"200 mcg/2 mL (100 mcg/mL), single dose vial, box of 25 (NDC 16729-239-93)",Reverified,1/12/2021,Available,"
","
","
",Anesthesia,Current,"
","
",4/10/2020,"
","
","
","
","
","
","
"
Dexmedetomidine Injection,Accord Healthcare Inc.,800-843-7477,"200 mcg/2 mL (100 mcg/mL), single dose vial, box of 25 (NDC 16729-432-93), Novaplus",Reverified,1/12/2021,Available,"
","
","
",Anesthesia,Current,"
","
",4/10/2020,"
","
","
","
","
","
","
"
Dexmedetomidine Injection,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),888-238-7880,"200 mcg/2 mL (100 mcg/mL), single dose vial, box of 25 (NDC 55150-209-02)",Revised,1/8/2021,Currently on backorder - next shipment anticipated end of Jan 21,Sporadic availability expected.,"
",Demand increase for the drug,Anesthesia,Current,"
","
",4/10/2020,"
","
","
","
","
","
","
"
Dexmedetomidine Injection,Baxter Healthcare,888-229-0001,"200 mcg/50 mL (4 mcg/mL) in 0.9% sodium chloride, single dose bag, box of 24 (NDC 0338-9555-24)",Reverified,12/22/2020,Available,"
","
","
",Anesthesia,Current,"
","
",4/10/2020,"
","
","
","
","
","
","
"
Dexmedetomidine Injection,Baxter Healthcare,888-229-0001,"400 mcg/100 mL (4 mcg/mL) in 0.9% sodium chloride, single dose bag, box of 12 (NDC 0338-9557-12)",Reverified,12/22/2020,Available,"
","
","
",Anesthesia,Current,"
","
",4/10/2020,"
","
","
","
","
","
","
"
Dexmedetomidine Injection,Baxter Healthcare,888-229-0001,"200 mcg/50 mL (4 mcg/mL) in 0.9% sodium chloride, single dose bag, box of 24 (NDC 43066-555-24), Novaplus",Reverified,12/22/2020,Available,"
","
","
",Anesthesia,Current,"
","
",4/10/2020,"
","
","
","
","
","
","
"
Dexmedetomidine Injection,Baxter Healthcare,888-229-0001,"400 mcg/100 mL (4 mcg/mL) in 0.9% sodium chloride, single dose bag, box of 12 (NDC 43066-557-12), Novaplus",Reverified,12/22/2020,Available,"
","
","
",Anesthesia,Current,"
","
",4/10/2020,"
","
","
","
","
","
","
"
Dexmedetomidine Injection,"Fresenius Kabi USA, LLC",888-386-1300,"80 mcg/20 mL (4 mcg/mL) in 0.9% sodium chloride, single dose vial, box of 10 (NDC 63323-671-20)",Revised,12/30/2020,Available,Check wholesalers for inventory,"
",Demand increase for the drug,Anesthesia,Current,"
","
",4/10/2020,"
","
","
","
","
","
","
"
Dexmedetomidine Injection,"Fresenius Kabi USA, LLC",888-386-1300,"200 mcg/50 mL (4 mcg/mL) in 0.9% sodium chloride, single dose bottle, box of 25 (NDC 63323-671-50)",Revised,12/30/2020,Backordered. Next release January 2021.,"
","
",Demand increase for the drug,Anesthesia,Current,"
","
",4/10/2020,"
","
","
","
","
","
","
"
Dexmedetomidine Injection,"Fresenius Kabi USA, LLC",888-386-1300,"400 mcg/100 mL (4 mcg/mL) in 0.9% sodium chloride, single dose bottle, box of 10 (NDC 63323-671-00)",Revised,12/30/2020,Available,Check wholesalers for inventory,"
",Demand increase for the drug,Anesthesia,Current,"
","
",4/10/2020,"
","
","
","
","
","
","
"
Dexmedetomidine Injection,"Fresenius Kabi USA, LLC",888-386-1300,"200 mcg/2 mL (100 mcg/mL), single dose vial, box of 25 (NDC 63323-421-02)",Revised,12/30/2020,Available,Check wholesalers for inventory,"
",Demand increase for the drug,Anesthesia,Current,"
","
",4/10/2020,"
","
","
","
","
","
","
"
Dexmedetomidine Injection,HQ Specialty Pharma,201-857-8290,"400 mcg/4 mL (100 mcg/mL), multi-dose vial, box of 4 (NDC 44567-600-04)",Reverified,1/4/2021,Available,Distributed by WG Critical Care. Please contact WG Critical Care at 888-493-0861.,"
",Demand increase for the drug,Anesthesia,Current,"
","
",4/10/2020,"
","
","
","
","
","
","
"
Dexmedetomidine Injection,HQ Specialty Pharma,201-857-8290,"1000 mcg/10 mL (100 mcg/mL), multi-dose vial, box of 4 (NDC 44567-601-04)",Reverified,1/4/2021,Available,Distributed by WG Critical Care. Please contact WG Critical Care at 888-493-0861.,"
",Demand increase for the drug,Anesthesia,Current,"
","
",4/10/2020,"
","
","
","
","
","
","
"
Dexmedetomidine Injection,HQ Specialty Pharma,201-857-8290,"200 mcg/50 mL (4 mcg/mL), single dose bag, box of 24 (NDC 44567-602-24)",Reverified,1/4/2021,Available,Distributed by WG Critical Care. Please contact WG Critical Care at 888-493-0861.,"
",Demand increase for the drug,Anesthesia,Current,"
","
",4/10/2020,"
","
","
","
","
","
","
"
Dexmedetomidine Injection,HQ Specialty Pharma,201-857-8290,"400 mcg/100 mL (4 mcg/mL), box of 24 (NDC 44567-603-24)",Reverified,1/4/2021,Available,Distributed by WG Critical Care. Please contact WG Critical Care at 888-493-0861.,"
",Demand increase for the drug,Anesthesia,Current,"
","
",4/10/2020,"
","
","
","
","
","
","
"
Dexmedetomidine Injection,Jiangsu Hengrui Medicine Co. Ltd.,Athenex: 855-273-0154,"200 mcg/2 mL (100 mcg/mL), single dose vial, box of 25 (NDC 70860-605-03)",Reverified,12/30/2020,Available,"Distributed by Athenex. To order, contact Athenex at 855-273-0154.","
",Demand increase for the drug,Anesthesia,Current,"
","
",4/10/2020,"
","
","
","
","
","
","
"
Dexmedetomidine Injection,Mylan Institutional,800-RXMYLAN (1-800-796-9526),"200 mcg/2 mL (100 mcg/mL), single dose vial, box of 25 (NDC 67457-251-02)",Reverified,1/8/2021,Available,"
","
",Demand increase for the drug,Anesthesia,Current,"
","
",4/10/2020,"
","
","
","
","
","
","
"
Dexmedetomidine Injection,Par Pharmaceutical,800-828-9393,"100 mcg/mL, 2 mL single dose vial, box of 25 (NDC 42023-146-25)",Reverified,1/6/2021,Available,Please check wholesalers for supply,"
","
",Anesthesia,Current,"
","
",4/10/2020,"
","
","
","
","
","
","
"
Dexmedetomidine Injection,Pfizer Pharmaceuticals,844-646-4398,"80 mcg/20 mL (4 mcg/mL) in 0.9% sodium chloride, single dose vial, box of 10 (NDC 0409-1660-20)",Reverified,1/12/2021,Available,"
","
",Demand increase for the drug,Anesthesia,Current,"
","
",4/10/2020,"
","
","
","
","
","
","
"
Dexmedetomidine Injection,Pfizer Pharmaceuticals,844-646-4398,"200 mcg/50 mL (4 mcg/mL) in 0.9% sodium chloride, single dose bottle, box of 20 (NDC 0409-1660-50)",Reverified,1/12/2021,Available,"
","
",Demand increase for the drug,Anesthesia,Current,"
","
",4/10/2020,"
","
","
","
","
","
","
"
Dexmedetomidine Injection,Pfizer Pharmaceuticals,844-646-4398,"400 mcg/100 mL (4 mcg/mL) in 0.9% sodium chloride, single dose bottle, box of 10 (NDC 0409-1660-10)",Reverified,1/12/2021,Available,"
","
",Demand increase for the drug,Anesthesia,Current,"
","
",4/10/2020,"
","
","
","
","
","
","
"
Dexmedetomidine Injection,Pfizer Pharmaceuticals,844-646-4398,"200 mcg/2 mL (100 mcg/mL), single dose vial, box of 25 (NDC 0409-1638-02)",Reverified,1/12/2021,Available,"
","
",Demand increase for the drug,Anesthesia,Current,"
","
",4/10/2020,"
","
","
","
",https://www.fda.gov/drugs/drug-shortages/search-list-extended-use-dates-assist-drug-shortages,"
","
"
Dexmedetomidine Injection,Slayback Pharma,844-566-2505,"4 mcg/mL in 0.9% sodium chloride, 50 mL single dose bottle, box of 20 (NDC 71225-126-05)",Revised,1/11/2021,"Currently on backorder,  Next release expected by mid-January 2021.","
","
",Demand increase for the drug,Anesthesia,Current,"
","
",4/10/2020,"
","
","
","
","
","
","
"
Dexmedetomidine Injection,Slayback Pharma,844-566-2505,"4 mcg/mL in 0.9% sodium chloride, 100 mL single dose bottle, box of 10 (NDC 71225-126-06)",Revised,1/11/2021,"Currently on backorder, Next release expected by mid-January 2021.","
","
",Demand increase for the drug,Anesthesia,Current,"
","
",4/10/2020,"
","
","
","
","
","
","
"
Dexrazoxane Injection,Pfizer Pharmaceuticals,844-646-4398,250 mg Single Dose Vial (NDC 00013-8717-62),New,1/14/2021,"
",Discontinuation of the manufacture of the drug,"
","
",Oncology;Pediatric,To be Discontinued,1/14/2021,1/14/2021,1/14/2021,"
","
","
","
","
","
","
"
Dexrazoxane Injection,Pfizer Pharmaceuticals,844-646-4398,500 mg Single Dose Vial (NDC 00013-8717-62),New,1/14/2021,"
",Discontinuation of the manufacture of the drug,"
","
",Oncology;Pediatric,To be Discontinued,1/14/2021,1/14/2021,1/14/2021,"
","
","
","
","
","
","
"
Dextroamphetamine Sulfate Extended-Release Capsules,Mylan Pharmaceuticals Inc.,800-796-9526,"5 mg, 100s (NDC 0378-1070-01)",New,5/8/2018,"
",The discontinuation of this product is a business decision,"
","
",Neurology;Pediatric;Psychiatry,To be Discontinued,5/8/2018,5/8/2018,5/8/2018,"
","
","
","
","
","
","
"
Dextroamphetamine Sulfate Extended-Release Capsules,Mylan Pharmaceuticals Inc.,800-796-9526,"10 mg, 100s (NDC 0378-1071-01)",New,5/8/2018,"
",The discontinuation of this product is a business decision,"
","
",Neurology;Pediatric;Psychiatry,To be Discontinued,5/8/2018,5/8/2018,5/8/2018,"
","
","
","
","
","
","
"
Dextroamphetamine Sulfate Extended-Release Capsules,Mylan Pharmaceuticals Inc.,800-796-9526,"15 mg, 100s (NDC 0378-1072-01)",New,5/8/2018,"
",The discontinuation of this product is a business decision,"
","
",Neurology;Pediatric;Psychiatry,To be Discontinued,5/8/2018,5/8/2018,5/8/2018,"
","
","
","
","
","
","
"
Dextrose 25% Injection,"Hospira, Inc.",844-646-4398,250 mg/mL (25%); Ansyr Plastic Syringe (NDC 0409-1775-10),Revised,12/11/2020,"
","
","
","
",Endocrinology/Metabolism;Gastroenterology;Pediatric,Resolved,12/11/2020,"
",9/27/2019,"
","
","
","
","
","
","
"
Dextrose 5% Injection Bags,Baxter Healthcare,800-229-0001,"5% Dextrose Injection, USP, in VIAFLO container Product codes:  UE0062D (250mL, NDC 0338-0062-30); UE0063D (500mL, NDC 0338-0066-20); UE0064D (1000mL, NDC 0338-0070-10)",Revised,9/23/2019,"
","
","
","
",Gastroenterology;Other;Pediatric,Resolved,9/23/2019,"
",6/5/2018,"
","
","
","
","
","
","
"
Dextrose 5% Injection Bags,"ICU Medical, Inc.",877-946-7747,250 mL (NDC 0409-7922-02),Revised,9/23/2019,"
","
","
","
",Gastroenterology;Other;Pediatric,Resolved,9/23/2019,"
",12/18/2018,"
","
","
","
","
","
","
"
Dextrose 5% Injection Bags,"ICU Medical, Inc.",877-946-7747,500 mL (NDC 0409-7922-03),Revised,9/23/2019,"
","
","
","
",Gastroenterology;Other;Pediatric,Resolved,9/23/2019,"
",12/18/2018,"
","
","
","
","
","
","
"
Dextrose 5% Injection Bags,"ICU Medical, Inc.",877-946-7747,1000 mL (NDC 0409-7922-09),Revised,9/23/2019,"
","
","
","
",Gastroenterology;Other;Pediatric,Resolved,9/23/2019,"
",12/18/2018,"
","
","
","
","
","
","
"
Dextrose 5% Injection Bags,"ICU Medical, Inc.",877-946-7747,250 mL VisIV™ Container (NDC 0409-7922-25),Revised,9/23/2019,"
","
","
","
",Gastroenterology;Other;Pediatric,Resolved,9/23/2019,"
",12/18/2018,"
","
","
","
","
","
","
"
Dextrose 5% Injection Bags,"ICU Medical, Inc.",877-946-7747,250 mL (NDC 0409-7922-53),Revised,9/23/2019,"
","
","
","
",Gastroenterology;Other;Pediatric,Resolved,9/23/2019,"
",12/18/2018,"
","
","
","
","
","
","
"
Dextrose 5% Injection Bags,"ICU Medical, Inc.",877-946-7747,500 mL (NDC 0409-7922-55),Revised,9/23/2019,"
","
","
","
",Gastroenterology;Other;Pediatric,Resolved,9/23/2019,"
",12/18/2018,"
","
","
","
","
","
","
"
Dextrose 5% Injection Bags,"ICU Medical, Inc.",877-946-7747,150 mL (NDC 0409-7922-61),Revised,9/23/2019,"
","
","
","
",Gastroenterology;Other;Pediatric,Resolved,9/23/2019,"
",12/18/2018,"
","
","
","
","
","
","
"
Dextrose 5% Injection Bags,"ICU Medical, Inc.",877-946-7747,50 mL VisIV™ Container (NDC 0409-7923-06),Revised,9/23/2019,"
","
","
","
",Gastroenterology;Other;Pediatric,Resolved,9/23/2019,"
",12/18/2018,"
","
","
","
","
","
","
"
Dextrose 5% Injection Bags,"ICU Medical, Inc.",877-946-7747,100 mL VisIV™ Container (NDC 0409-7923-11),Revised,9/23/2019,"
","
","
","
",Gastroenterology;Other;Pediatric,Resolved,9/23/2019,"
",12/18/2018,"
","
","
","
","
","
","
"
Dextrose 5% Injection Bags,"ICU Medical, Inc.",877-946-7747,50 mL (NDC 0409-7923-13),Revised,9/23/2019,"
","
","
","
",Gastroenterology;Other;Pediatric,Resolved,9/23/2019,"
",12/18/2018,"
","
","
","
","
","
","
"
Dextrose 5% Injection Bags,"ICU Medical, Inc.",877-946-7747,"25 mL, Quad Pack (NDC 0409-7923-20)",Revised,9/23/2019,"
","
","
","
",Gastroenterology;Other;Pediatric,Resolved,9/23/2019,"
",12/18/2018,"
","
","
","
","
","
","
"
Dextrose 5% Injection Bags,"ICU Medical, Inc.",877-946-7747,100 mL (NDC 0409-7923-23),Revised,9/23/2019,"
","
","
","
",Gastroenterology;Other;Pediatric,Resolved,9/23/2019,"
",12/18/2018,"
","
","
","
","
","
","
"
Dextrose 5% Injection Bags,"ICU Medical, Inc.",877-946-7747,"50 mL, Quad Pack (NDC 0409-7923-36)",Revised,9/23/2019,"
","
","
","
",Gastroenterology;Other;Pediatric,Resolved,9/23/2019,"
",12/18/2018,"
","
","
","
","
","
","
"
Dextrose 5% Injection Bags,"ICU Medical, Inc.",877-946-7747,"100 mL, Quad Pack (NDC 0409-7923-37)",Revised,9/23/2019,"
","
","
","
",Gastroenterology;Other;Pediatric,Resolved,9/23/2019,"
",12/18/2018,"
","
","
","
","
","
","
"
Dextrose 5% Injection Bags,Baxter Healthcare,800-229-0001,"5% Dextrose Injection, USP, 25 mL, in VIAFLEX Plastic Container. Quad Pack.  Product code 2B0080  (NDC 0338-0017-10)",Revised,9/23/2019,"
","
","
","
",Gastroenterology;Other;Pediatric,Resolved,9/23/2019,"
",6/5/2018,"
","
","
","
","
","
","
"
Dextrose 5% Injection Bags,Baxter Healthcare,800-229-0001,"5% Dextrose Injection, USP, 100 mL MINI-BAG Plus Container, in VIAFLEX Plastic Container.  Single Pack. Product code EZPB0041 (NDC 0338-9147-30)",Revised,9/23/2019,"
","
","
","
",Gastroenterology;Other;Pediatric,Resolved,9/23/2019,"
",6/5/2018,"
","
","
","
","
","
","
"
Dextrose 5% Injection Bags,Baxter Healthcare,888-229-0001,"5% Dextrose Injection, USP, 250 mL VIAFLEX Plastic Container.  Product code 2B0062Q  (NDC 0338-0017-02)",Revised,9/23/2019,"
","
","
","
",Gastroenterology;Other;Pediatric,Resolved,9/23/2019,"
",6/5/2018,"
","
","
","
","
","
","
"
Dextrose 5% Injection Bags,Baxter Healthcare,888-229-0001,"5% Dextrose Injection, USP, 500 mL VIAFLEX Plastic Container.  Product code 2B0063Q  (NDC 0338-0017-03)",Revised,9/23/2019,"
","
","
","
",Gastroenterology;Other;Pediatric,Resolved,9/23/2019,"
",6/5/2018,"
","
","
","
","
","
","
"
Dextrose 5% Injection Bags,Baxter Healthcare,888-229-0001,"5% Dextrose Injection, USP, 1000 mL VIAFLEX Plastic Container. Product code 2B0064X  (NDC 0338-0017-04)",Revised,9/23/2019,"
","
","
","
",Gastroenterology;Other;Pediatric,Resolved,9/23/2019,"
",6/5/2018,"
","
","
","
","
","
","
"
Dextrose 5% Injection Bags,Baxter Healthcare,888-229-0001,"5% Dextrose Injection, USP, 250 mL AVIVA Container.  Product code 6E0062 (NDC 0338-6346-02)",Revised,9/23/2019,"
","
","
","
",Gastroenterology;Other;Pediatric,Resolved,9/23/2019,"
",6/5/2018,"
","
","
","
","
","
","
"
Dextrose 5% Injection Bags,Baxter Healthcare,888-229-0001,"5% Dextrose Injection, USP, 500 mL AVIVA Container. Product code 6E0063  (NDC 0338-6346-03)",Revised,9/23/2019,"
","
","
","
",Gastroenterology;Other;Pediatric,Resolved,9/23/2019,"
",6/5/2018,"
","
","
","
","
","
","
"
Dextrose 50% Injection,"Amphastar Pharmaceuticals, Inc./IMS",800-423-4136,"DEXTROSE INJECTION, USP, 50%, [500 mg / mL](NDC 76329-3301-1)",Reverified,1/6/2021,Available,"
","
",Demand increase for the drug,Endocrinology/Metabolism;Gastroenterology;Pediatric,Current,9/23/2019,"
",4/27/2017,"
","
","
","
","
","
","
"
Dextrose 50% Injection,"Hospira, Inc.",844-646-4398,25 g/50 mL (50%; 0.5 g/mL); LifeShield Abboject Glass Syringe (NDC 0409-4902-34),Reverified,1/12/2021,Limited Supply Available. Next Delivery and Estimated Recovery: January 2021,Shortage per Manufacturer: Manufacturing Delay,"
","
",Endocrinology/Metabolism;Gastroenterology;Pediatric,Current,9/23/2019,"
",4/28/2017,"
","
","
","
","
","
","
"
Dextrose 50% Injection,"Hospira, Inc.",844-646-4398,25 g/50 mL (50%; 0.5 g/mL); Single Dose Glass Fliptop Vial (NDC 0409-6648-02),Reverified,1/12/2021,Available,"
","
",Other,Endocrinology/Metabolism;Gastroenterology;Pediatric,Current,9/23/2019,"
",4/28/2017,"
","
","
","
","
","
","
"
Dextrose 50% Injection,"Hospira, Inc.",844-646-4398,25 g/50 mL (50%; 0.5 g/mL); Ansyr Plastic Syringe (NDC 0409-7517-16),Reverified,1/12/2021,Available,"
","
",Other,Endocrinology/Metabolism;Gastroenterology;Pediatric,Current,"
","
",9/27/2019,"
","
","
","
",https://www.fda.gov/media/135550/download,"
","
"
Diclofenac Sodium Extended Release Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,100 mg (NDC 0378-0355-01),New,4/4/2018,"
",The discontinuation of this product is a business decision,"
","
",Analgesia/Addiction;Rheumatology,To be Discontinued,4/4/2018,4/4/2018,4/4/2018,"
","
","
","
","
","
","
"
Diclofenac Sodium Topical Gel,"Endo Pharmaceuticals, Inc.","800-828-9393, option 5, then option 2",1% topical gel (NDC 49884-935-47),New,2/13/2020,"
","
","
","
",Analgesia/Addiction,To be Discontinued,2/13/2020,2/13/2020,2/13/2020,"
","
","
","
","
","
","
"
Diclofenac Sodium Topical Solution,Apotex Corp.,800-706-5575,2% topical solution (NDC 60505-0399-5),New,5/6/2020,"
","
","
","
",Analgesia/Addiction,To be Discontinued,5/6/2020,5/6/2020,5/6/2020,"
","
","
","
","
","
","
"
Dicyclomine Oral Tablets/Capsules,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",800-631-2174,"Dicyclomine HCl Caps, USP, 10mg 1000s (NDC 0143-3126-10)",Reverified,12/29/2020,Available,"
","
","
",Gastroenterology,Current,"
","
",3/13/2019,"
","
","
","
","
","
","
"
Dicyclomine Oral Tablets/Capsules,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",800-631-2174,"Dicyclomine HCl Caps, USP, 10mg 100s (NDC 0143-3126-01)",Reverified,12/29/2020,Available,"
","
","
",Gastroenterology,Current,"
","
",3/13/2019,"
","
","
","
","
","
","
"
Dicyclomine Oral Tablets/Capsules,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",800-631-2174,"Dicyclomine HCl Tabs, USP, 20mg 1000s (NDC 0143-1227-10)",Reverified,12/29/2020,Available,"
","
","
",Gastroenterology,Current,"
","
",3/13/2019,"
","
","
","
","
","
","
"
Dicyclomine Oral Tablets/Capsules,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",800-631-2174,"Dicyclomine HCl Tabs, USP, 20mg 100s (NDC 0143-1227-01)",Reverified,12/29/2020,Available,"
","
","
",Gastroenterology,Current,"
","
",3/13/2019,"
","
","
","
","
","
","
"
Dicyclomine Oral Tablets/Capsules,Mylan Pharmaceuticals Inc.,800-796-9526,Dicyclomine HCl 10mg C 100s (NDC 0378-1610-01),Reverified,1/8/2021,Available,"
","
",Other,Gastroenterology,Current,"
","
",3/13/2019,"
","
","
","
","
","
","
"
Dicyclomine Oral Tablets/Capsules,Mylan Pharmaceuticals Inc.,800-796-9526,Dicyclomine HCl 10mg C 500s (NDC 0378-1610-05),Reverified,1/8/2021,Available,"
","
",Other,Gastroenterology,Current,"
","
",3/13/2019,"
","
","
","
","
","
","
"
Dicyclomine Oral Tablets/Capsules,Mylan Pharmaceuticals Inc.,800-796-9526,Dicyclomine HCl 20mg T 100s (NDC 0378-1620-01),Reverified,1/8/2021,Out of Stock. Resupply TBD.,"
","
",Other,Gastroenterology,Current,"
","
",3/13/2019,"
","
","
","
","
","
","
"
Dicyclomine Oral Tablets/Capsules,Mylan Pharmaceuticals Inc.,800-796-9526,Dicyclomine HCl 20mg T 500s (NDC 0378-1620-05),Reverified,1/8/2021,Out of Stock. Resupply TBD.,"
","
",Other,Gastroenterology,Current,"
","
",3/13/2019,"
","
","
","
","
","
","
"
Dicyclomine Oral Tablets/Capsules,"Lannett Company, Inc.",215-333-9000,"Dicyclomine Hydrochloride Capsules USP, 10 mg (100 count bottles) (NDC 0527-0586-01)",Reverified,12/8/2020,Available,"
","
","
",Gastroenterology,Current,"
","
",3/13/2019,"
","
","
","
","
","
","
"
Dicyclomine Oral Tablets/Capsules,"Lannett Company, Inc.",215-333-9000,"Dicyclomine Hydrochloride Capsules USP, 10 mg (1000 count bottles) (NDC 0527-0586-10)",Reverified,12/8/2020,Available,"
","
","
",Gastroenterology,Current,"
","
",3/13/2019,"
","
","
","
","
","
","
"
Dicyclomine Oral Tablets/Capsules,"Lannett Company, Inc.",215-333-9000,"Dicyclomine Hydrochloride Tablets USP, 20 mg (100 count bottles) (NDC 0527-1282-01)",Reverified,12/8/2020,Available,"
","
","
",Gastroenterology,Current,"
","
",3/13/2019,"
","
","
","
","
","
","
"
Dicyclomine Oral Tablets/Capsules,"Lannett Company, Inc.",215-333-9000,"Dicyclomine Hydrochloride Tablets USP, 20 mg (1000 count bottles) (NDC 0527-1282-10)",Reverified,12/8/2020,Available,"
","
","
",Gastroenterology,Current,"
","
",3/13/2019,"
","
","
","
","
","
","
"
Dicyclomine Oral Tablets/Capsules,Teva Pharmaceuticals,800-545-8800,DICYCLOMINE HCL 10MG CAPSULES 100 count (NDC 0591-0794-01),Reverified,1/5/2021,Available,"
","
","
",Gastroenterology,Current,"
","
",3/13/2019,"
","
","
","
","
","
","
"
Dicyclomine Oral Tablets/Capsules,Teva Pharmaceuticals,800-545-8800,DICYCLOMINE HCL 10MG CAPSULES 1000 count (NDC 0591-0794-10),Reverified,1/5/2021,Available,"
","
","
",Gastroenterology,Current,"
","
",3/13/2019,"
","
","
","
","
","
","
"
Dicyclomine Oral Tablets/Capsules,Teva Pharmaceuticals,800-545-8800,DICYCLOMINE HCL 20MG TABLETS 100 count (NDC 0591-0795-01),Reverified,1/5/2021,Available,"
","
","
",Gastroenterology,Current,"
","
",3/13/2019,"
","
","
","
","
","
","
"
Dicyclomine Oral Tablets/Capsules,Teva Pharmaceuticals,800-545-8800,DICYCLOMINE HCL 20MG TABLETS 1000 count (NDC 0591-0795-10),Reverified,1/5/2021,Available,"
","
","
",Gastroenterology,Current,"
","
",3/13/2019,"
","
","
","
","
","
","
"
Didanosine Delayed-Release Capsules USP,Teva Pharmaceuticals,800-545-8800,"Didanosine Delayed-Release Capsules, USP, 200 mg, 30 count bottles (NDC 0555-0588-01)",New,5/9/2018,"
",This was a business-related decision to discontinue manufacturing these products,"
","
",Antiviral,To be Discontinued,5/9/2018,5/9/2018,5/9/2018,"
","
","
","
","
","
","
"
Didanosine Delayed-Release Capsules USP,Teva Pharmaceuticals,800-545-8800,"Didanosine Delayed-Release Capsules, USP, 250 mg, 30 count bottles (NDC 0555-0589-01)",New,5/9/2018,"
",This was a business-related decision to discontinue manufacturing these products,"
","
",Antiviral,To be Discontinued,5/9/2018,5/9/2018,5/9/2018,"
","
","
","
","
","
","
"
