Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
Amantadine Hydrochloride Capsules,Teva Pharmaceuticals,800-545-8800,100 mg capsules (NDC 0591-4930-01 & 0591-4930-05),New,1/4/2021,"
",A business decision was made to discontinue this presentation.,"
","
",Antiviral;Neurology,To be Discontinued,1/4/2021,1/4/2021,1/4/2021,"
","
","
","
","
","
","
"
Amantadine Hydrochloride Capsules,Sandoz,800-525-8747,100 mg capsules  (NDCs 0781-2320-01 and 0781-2320-05),New,7/16/2020,"
","
","
","
",Antiviral;Neurology,To be Discontinued,7/16/2020,7/16/2020,7/16/2020,"
","
","
","
","
","
","
"
Amifostine Injection,"Clinigen, Inc.",877-776-5385,ETHYOL® (amifostine) for injection: 3 x 500 mg vials (NDC 76310-017-50),New,5/21/2020,Shortage anticipated from June 2020; Estimated shortage duration:  Unknown,"
","
",Other,Oncology;Other,Current,"
","
",5/21/2020,"
","
","
","
","
","
","
"
Amino Acids,"ICU Medical, Inc.",877-976-7747,Aminosyn II 15% Sulfite-Free BLK PK 2000 mL (NDC 0409-7171-17),Reverified,7/16/2021,Unavailable,"ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical.","
",Other,Gastroenterology,Current,"
","
",12/8/2020,"
","
","
","
","
","
","
"
Amino Acids,"ICU Medical, Inc.",877-946-7747,Aminosyn II 10% Sulfite-Free BLK PK 2000 mL (NDC 0409-7172-17) (ICU Medical NDC 0990-7172-17),Reverified,7/16/2021,Available to contracted customers only,"ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical.","
",Other,Gastroenterology,Current,"
","
",12/8/2020,"
","
","
","
","
","
","
"
Amino Acids,"ICU Medical, Inc.",877-946-7747,"AMINOSYN™-PF 7%, Sulfite-Free, 500 mL (NDC 0409-4178-03)",Reverified,7/16/2021,Available,"ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical.","
",Other,Gastroenterology,Current,"
","
",12/8/2020,"
","
","
","
","
","
","
"
Amino Acids,"ICU Medical, Inc.",877-946-7747,"AMINOSYN II 10%, Sulfite-Free, (Pediatric Formula) 1000 mL (Legacy Hospira NDC 0409-4179-05) (ICU Medical NDC 0990-4179-05)",Reverified,7/16/2021,Available to contracted customers only,"ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical.","
",Other,Gastroenterology,Current,"
","
",12/8/2020,"
","
","
","
","
","
","
"
Amino Acids,Baxter Healthcare,888-229-0001,"15% CLINISOL - sulfite-free (Amino Acid) Injection in VIAFLEX Plastic Container. Pharmacy Bulk Package. Not for Direct Infusion. Product Codes: 2B6189 15% 2000 mL (NDC 0338-0502-06), 2B6187 15% 500 mL (NDC 0338-0502-03)",Reverified,6/29/2021,Available,"
","
","
",Gastroenterology,Current,"
","
",12/8/2020,"
","
","
","
","
","
","
"
Amiodarone Tablets,Sandoz,800-525-8747,"Amiodarone hydrochloride tablets, 200 mg, 60 count bottle (NDC 0185-0144-60)",New,2/23/2018,"
",Sandoz Inc. has made a business decision to permanently discontinue Amiodarone HCl Tablets.,"
","
",Cardiovascular,To be Discontinued,2/23/2018,2/23/2018,2/23/2018,"
","
","
","
","
","
","
"
Amiodarone Tablets,Sandoz,800-525-8747,"Amiodarone hydrochloride tablets, 200 mg, 90 count bottle (NDC 0185-0144-09)",New,2/23/2018,"
",Sandoz Inc. has made a business decision to permanently discontinue Amiodarone HCl Tablets.,"
","
",Cardiovascular,To be Discontinued,2/23/2018,2/23/2018,2/23/2018,"
","
","
","
","
","
","
"
Amiodarone Tablets,Sandoz,800-525-8747,"Amiodarone hydrochloride tablets, 200 mg, 500 count bottle (NDC 0185-0144-05)",New,2/23/2018,"
",Sandoz Inc. has made a business decision to permanently discontinue Amiodarone HCl Tablets.,"
","
",Cardiovascular,To be Discontinued,2/23/2018,2/23/2018,2/23/2018,"
","
","
","
","
","
","
"
Amiodarone Tablets,Sandoz,800-525-8747,"Amiodarone hydrochloride tablets, 400 mg, 500 count bottle (NDC 0245-0145-15)",New,2/23/2018,"
",Sandoz Inc. has made a business decision to permanently discontinue Amiodarone HCl Tablets.,"
","
",Cardiovascular,To be Discontinued,2/23/2018,2/23/2018,2/23/2018,"
","
","
","
","
","
","
"
Amiodarone Tablets,Sandoz,800-525-8747,"Amiodarone hydrochloride tablets, 400 mg, 30 count bottle (NDC 0245-0145-30)",New,2/23/2018,"
",Sandoz Inc. has made a business decision to permanently discontinue Amiodarone HCl Tablets.,"
","
",Cardiovascular,To be Discontinued,2/23/2018,2/23/2018,2/23/2018,"
","
","
","
","
","
","
"
Amitriptyline Hydrochloride Tablets,"Mylan Specialty, a Viatris Company",800-796-9526,10 mg (NDCs 0378-2610-01 and 0378-2610-10),New,8/2/2021,"
","
","
","
",Psychiatry,To be Discontinued,8/2/2021,8/2/2021,8/2/2021,"
","
","
","
","
","
","
"
Amitriptyline Hydrochloride Tablets,"Mylan Specialty, a Viatris Company",800-796-9526,25 mg (NDCs 0378-2625-01 and 0378-2625-10),New,8/2/2021,"
","
","
","
",Psychiatry,To be Discontinued,8/2/2021,8/2/2021,8/2/2021,"
","
","
","
","
","
","
"
Amoxapine Tablets,Teva Pharmaceuticals,800-545-8800,"50 mg, 100 tablets (NDC 0591-5714-01)",Revised,7/20/2021,On Backorder,Recovery July 2021,"
","
",Psychiatry,Current,3/9/2020,"
",3/9/2020,"
","
","
","
","
","
","
"
Amoxapine Tablets,Teva Pharmaceuticals,800-545-8800,"25 mg, 100 tablets (NDC 0591-5713-01)",Revised,7/20/2021,On Backorder,Recovery July 2021,"
",Other,Psychiatry,Current,3/9/2020,"
",3/9/2020,"
","
","
","
","
","
","
"
Amoxapine Tablets,Teva Pharmaceuticals,800-545-8800,"100 mg, 100 tablets (NDC 0591-5715-01)",Revised,7/20/2021,On Backorder,Recovery July 2021,"
","
",Psychiatry,Current,3/9/2020,"
",3/9/2020,"
","
","
","
","
","
","
"
Amoxapine Tablets,Teva Pharmaceuticals,800-545-8800,"150 mg, 30 tablets (NDC 00591-5716-30)",Revised,7/20/2021,On Backorder,Recovery Aug 2021,"
","
",Psychiatry,Current,3/9/2020,"
",3/9/2020,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,877-993-8779,"5 mg, 100 Count Bottle (NDC 68382-950-01)",Revised,7/12/2021,"
",Availability and Estimated Shortage Duration (Discontinuance): January 2022,"
","
",Psychiatry,To be Discontinued,7/12/2021,7/12/2021,9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,877-993-8779,"7.5 mg, 100 Count Bottle (NDC 68382-951-01)",Revised,7/12/2021,"
",Availability and Estimated Shortage Duration (Discontinuance): January 2022,"
","
",Psychiatry,To be Discontinued,7/12/2021,7/12/2021,9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,877-993-8779,"10 mg, 100 Count Bottle (NDC 68382-952-01)",Revised,7/12/2021,"
",Availability and Estimated Shortage Duration (Discontinuance): January 2022,"
","
",Psychiatry,To be Discontinued,7/12/2021,7/12/2021,9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,877-993-8779,"12.5 mg, 100 Count Bottle (NDC 68382-953-01)",Revised,7/12/2021,"
",Availability and Estimated Shortage Duration (Discontinuance): January 2022,"
","
",Psychiatry,To be Discontinued,7/12/2021,7/12/2021,9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,877-993-8779,"15 mg, 100 Count Bottle (NDC 68382-954-01)",Revised,7/12/2021,"
",Availability and Estimated Shortage Duration (Discontinuance): January 2022,"
","
",Psychiatry,To be Discontinued,7/12/2021,7/12/2021,9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,877-993-8779,"20 mg, 100 Count Bottle (NDC 68382-955-01)",Revised,7/12/2021,"
",Availability and Estimated Shortage Duration (Discontinuance): January 2022,"
","
",Psychiatry,To be Discontinued,7/12/2021,7/12/2021,9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Nesher Pharmaceuticals (USA) LLC,877-993-8779,"30 mg, 100 Count Bottle (NDC 68382-956-01)",Revised,7/12/2021,"
",Availability and Estimated Shortage Duration (Discontinuance): January 2022,"
","
",Psychiatry,To be Discontinued,7/12/2021,7/12/2021,9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Sandoz,800-525-8747,"30 mg, 100 Count Bottle (NDC 0185-0864-01)",Reverified,7/16/2021,Available,"
","
",Demand increase for the drug,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Sandoz,800-525-8747,"20 mg, 100 Count Bottle (NDC 0185-0853-01)",Reverified,7/16/2021,Available,"
","
",Demand increase for the drug,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Sandoz,800-525-8747,"10 mg, 100 Count Bottle (NDC 0185-0842-01)",Reverified,7/16/2021,Available,"
","
",Demand increase for the drug,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Sandoz,800-525-8747,"5 mg, 100 Count Bottle (NDC 0185-0831-01)",Reverified,7/16/2021,Available,"
","
",Demand increase for the drug,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,800-545-8800,Adderall(R) Tablets 10mg 100 (NDC 57844-0110-01),Reverified,7/20/2021,Available,"
","
","
",Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,800-545-8800,Adderall(R) Tablets 12.5mg 100 (NDC 57844-0112-01),Reverified,7/20/2021,Available,"
","
","
",Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,800-545-8800,Adderall(R) Tablets 15mg 100 (NDC 57844-0115-01),Reverified,7/20/2021,Available,"
","
","
",Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,800-545-8800,Adderall(R) Tablets 20mg 100 (NDC 57844-0120-01),Reverified,7/20/2021,Available,"
","
","
",Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,800-545-8800,Adderall(R) Tablets 30mg 100 (NDC 57844-0130-01),Reverified,7/20/2021,Available,"
","
","
",Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,800-545-8800,Adderall(R) Tablets 5mg 100 (NDC 57844-0105-01),Reverified,7/20/2021,Available,"
","
","
",Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,800-545-8800,Adderall(R) Tablets 7.5mg 100 (NDC 57844-0117-01),Reverified,7/20/2021,Available,"
","
","
",Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,"Mylan Pharmaceuticals Inc., a Viatris Company",800-796-9526,5mg [1.25/1.25/1.25/1.25mg] 100s (NDC 0378-4541-01),Reverified,7/20/2021,Out of Stock/Unavailable,"
","
",Other,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,"Mylan Pharmaceuticals Inc., a Viatris Company",800-796-9526,7.5mg [1.875/1.875/1.875/1.875mg] 100s (NDC 0378-4542-01),Reverified,7/20/2021,Out of Stock/Unavailable,"
","
",Other,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,"Mylan Pharmaceuticals Inc., a Viatris Company",800-796-9526,10mg [2.5/2.5/2.5/2.5mg] 100s (NDC 0378-4543-01),Reverified,7/20/2021,Out of Stock/Unavailable,"
","
",Other,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,"Mylan Pharmaceuticals Inc., a Viatris Company",800-796-9526,12.5mg [3.125/3.125/3.125/3.125mg] 100s (NDC 0378-4544-01),Reverified,7/20/2021,Out of Stock/Unavailable,"
","
",Other,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,"Mylan Pharmaceuticals Inc., a Viatris Company",800-796-9526,15mg [3.75/3.75/3.75/3.75mg] 100s (NDC 0378-4545-01),Reverified,7/20/2021,Out of Stock/Unavailable,"
","
",Other,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,"Mylan Pharmaceuticals Inc., a Viatris Company",800-796-9526,20mg [5/5/5/5mg] 100s (NDC 0378-4546-01),Reverified,7/20/2021,Out of Stock/Unavailable,"
","
",Other,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,"Mylan Pharmaceuticals Inc., a Viatris Company",800-796-9526,30mg [7.5/7.5/7.5/7.5mg] 100s (NDC 0378-4547-01),Reverified,7/20/2021,Out of Stock/Unavailable,"
","
",Other,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Aurobindo Pharma,732-839-9400,"Amphetamine Mixed Salts Tablets C-II 5 mg, 100 (NDC 13107-0068-01)",Reverified,6/14/2021,Available,"
","
",Demand increase for the drug,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Aurobindo Pharma,732-839-9400,"Amphetamine Mixed Salts Tablets C-II 10 mg, 100 (NDC 13107-0070-01)",Reverified,6/14/2021,Available,"
","
",Demand increase for the drug,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Aurobindo Pharma,732-839-9400,"Amphetamine Mixed Salts Tablets C-II 15 mg, 100 (NDC 13107-0072-01)",Reverified,6/14/2021,Available,"
","
",Demand increase for the drug,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Aurobindo Pharma,732-839-9400,"Amphetamine Mixed Salts Tablets C-II 20 mg, 100 (NDC 13107-0073-01)",Reverified,6/14/2021,Available,"
","
",Demand increase for the drug,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Aurobindo Pharma,732-839-9400,"Amphetamine Mixed Salts Tablets C-II 30 mg, 100 (NDC 13107-0074-01)",Reverified,6/14/2021,Available,"
","
",Demand increase for the drug,Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,800-545-8800,12.5  mg 100 count (NDC 0555-0776-02),Reverified,7/20/2021,Available,"
","
","
",Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,800-545-8800,15  mg 100 count (NDC 0555-0777-02),Reverified,7/20/2021,Available,"
","
","
",Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,800-545-8800,7.5  mg 100 count (NDC 0555-0775-02),Reverified,7/20/2021,Available,"
","
","
",Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,800-545-8800,10  mg 100 count (NDC 0555-0972-02),Reverified,7/20/2021,Available,"
","
","
",Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,800-545-8800,20 mg 100 count (NDC 0555-0973-02),Reverified,7/20/2021,Available,"
","
","
",Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,800-545-8800,30 mg 100 count (NDC 0555-0974-02),Reverified,7/20/2021,Available,"
","
","
",Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate Tablets,Teva Pharmaceuticals,800-545-8800,5 mg 100 count (NDC 0555-0971-02),Reverified,7/20/2021,Available,"
","
","
",Psychiatry,Current,"
","
",9/12/2019,"
","
","
","
","
","
","
"
"Ampicillin for Injection, USP","Hospira, Inc.",844-646-4398,250 mg/vial; Single Dose Vial (powder) (NDC 00409-3719-01),New,12/14/2020,"
",Discontinuation of the manufacture of the drug,"
","
",Antiviral,To be Discontinued,12/14/2020,12/14/2020,12/14/2020,"
","
","
","
","
","
","
"
Anagrelide Hydrochloride Capsules,Teva Pharmaceuticals,800-545-8800,1 MG 100 Capsules (NDC 0172-5240-60),Revised,7/20/2021,"
","
","
","
",Hematology,Resolved,7/20/2021,"
",10/29/2019,"
","
","
","
","
","
","
"
Anagrelide Hydrochloride Capsules,Teva Pharmaceuticals,800-545-8800,0.5 MG 100 Capsules (NDC 0172-5241-60),Revised,7/20/2021,"
","
","
","
",Hematology,Resolved,7/20/2021,"
",10/29/2019,"
","
","
","
","
","
","
"
Anagrelide Hydrochloride Capsules,Takeda Pharmaceuticals USA Inc.,877-825-3327,"AGRYLIN 0.5 mg Capsule,100 capsules in 1 bottle (NDC 54092-063-01)",Revised,7/20/2021,"
","
",Available,"
",Hematology,Resolved,7/20/2021,"
",10/29/2019,"
","
","
","
","
","
","
"
Anagrelide Hydrochloride Capsules,Torrent Pharma Inc.,908-280-3333,0.5 mg per capsule Bottles of 100 (NDC 13668-453-01),Revised,7/20/2021,"
","
",Available,"
",Hematology,Resolved,7/20/2021,"
",10/29/2019,"
","
","
","
","
","
","
"
Anagrelide Hydrochloride Capsules,Torrent Pharma Inc.,908-280-3333,"1 mg per capsule, Bottles of 100 (NDC 13668-462-01)",Revised,7/20/2021,"
","
",Available,"
",Hematology,Resolved,7/20/2021,"
",10/29/2019,"
","
","
","
","
","
","
"
