id,generic_name,company_name,contact_info,presentation,update_type,update_date,availability,related_info,resolved_note,reason_for_shortage,therapeutic_category,status,change_date,date_discontinued
11535,Amino Acid Injection,B. Braun Medical Inc.,800-227-2862,"Plenamine, Injection, 0.15 (NDC 0264-4500-00)",Reverified,9/3/24,Available,,,,Gastroenterology,Current,,
11536,Amoxapine Tablet,"Teva Pharmaceuticals Usa, Inc.",800-545-8800,"Amoxapine Tablets, Usp, Tablet, 150 Mg (NDC 0591-5716-30)",Revised,9/4/24,Unavailable,Estimated Recovery October 2024,,Other,Psychiatry,Current,,
11537,Amoxapine Tablet,"Teva Pharmaceuticals Usa, Inc.",800-545-8800,"Amoxapine Tablets, Usp, Tablet, 100 Mg (NDC 0591-5715-01)",Revised,9/4/24,Unavailable,Estimated Recovery October 2024,,Other,Psychiatry,Current,,
11538,Amoxapine Tablet,"Teva Pharmaceuticals Usa, Inc.",800-545-8800,"Amoxapine Tablets, Usp, Tablet, 25 Mg (NDC 0591-5713-01)",Revised,9/4/24,Unavailable,Estimated Recovery October 2024,,Other,Psychiatry,Current,,
11539,Amoxapine Tablet,"Teva Pharmaceuticals Usa, Inc.",800-545-8800,"Amoxapine Tablets, Usp, Tablet, 50 Mg (NDC 0591-5714-01)",Reverified,9/4/24,Unavailable,Estimated Recovery September 2024,,Other,Psychiatry,Current,,
11540,"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals Usa, Inc.",800-631-2174,"Powder, For Suspension, 400 Mg/5 Ml (NDC 0143-9887-75)",Reverified,8/28/24,Available,,,,Anti-Infective; Pediatric,Current,,
11541,"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals Usa, Inc.",800-631-2174,"Powder, For Suspension, 400 Mg/5 Ml (NDC 0143-9887-50)",Reverified,8/28/24,Available,,,,Anti-Infective; Pediatric,Current,,
11542,"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals Usa, Inc.",800-631-2174,"Powder, For Suspension, 250 Mg/5 Ml (NDC 0143-9889-80)",Reverified,8/28/24,Available,,,,Anti-Infective; Pediatric,Current,,
11543,"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals Usa, Inc.",800-631-2174,"Amoxicillin, Powder, For Suspension, 250 Mg/5 Ml (NDC 0143-9889-15)",Reverified,8/28/24,Available,,,,Anti-Infective; Pediatric,Current,,
11544,"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals Usa, Inc.",800-631-2174,"Powder, For Suspension, 200 Mg/5 Ml (NDC 0143-9886-75)",Reverified,8/28/24,Available,,,,Anti-Infective; Pediatric,Current,,
11545,"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals Usa, Inc.",800-631-2174,"Powder, For Suspension, 200 Mg/5 Ml (NDC 0143-9886-50)",Reverified,8/28/24,Available,,,,Anti-Infective; Pediatric,Current,,
11546,"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals Usa, Inc.",800-631-2174,"Powder, For Suspension, 125 Mg/5 Ml (NDC 0143-9888-80)",Reverified,8/28/24,Available,,,,Anti-Infective; Pediatric,Current,,
11547,"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals Usa, Inc.",800-631-2174,"Powder, For Suspension, 125 Mg/5 Ml (NDC 0143-9888-15)",Reverified,8/28/24,Available,,,,Anti-Infective; Pediatric,Current,,
11548,"Amoxicillin Powder, For Suspension",Aurobindo Pharma Usa,866-850-2876,"Powder, For Suspension, 400 Mg/5 Ml (NDC 65862-071-75)",Revised,5/15/24,Available,,,,Anti-Infective; Pediatric,Current,,
11549,"Amoxicillin Powder, For Suspension",Aurobindo Pharma Usa,866-850-2876,"Powder, For Suspension, 400 Mg/5 Ml (NDC 65862-071-50)",Revised,5/15/24,Available,,,,Anti-Infective; Pediatric,Current,,
11550,"Amoxicillin Powder, For Suspension",Aurobindo Pharma Usa,866-850-2876,"Powder, For Suspension, 250 Mg/5 Ml (NDC 65862-707-80)",Revised,5/15/24,Available,,,,Anti-Infective; Pediatric,Current,,
11551,"Amoxicillin Powder, For Suspension",Aurobindo Pharma Usa,866-850-2876,"Powder, For Suspension, 250 Mg/5 Ml (NDC 65862-707-55)",Revised,5/15/24,Available,,,,Anti-Infective; Pediatric,Current,,
11552,"Amoxicillin Powder, For Suspension",Aurobindo Pharma Usa,866-850-2876,"Powder, For Suspension, 200 Mg/5 Ml (NDC 65862-070-75)",Revised,5/15/24,Available,,,,Anti-Infective; Pediatric,Current,,
11553,"Amoxicillin Powder, For Suspension",Aurobindo Pharma Usa,866-850-2876,"Powder, For Suspension, 200 Mg/5 Ml (NDC 65862-070-50)",Revised,5/15/24,Available,,,,Anti-Infective; Pediatric,Current,,
11554,"Amoxicillin Powder, For Suspension",Aurobindo Pharma Usa,866-850-2876,"Powder, For Suspension, 125 Mg/5 Ml (NDC 65862-706-80)",Revised,5/15/24,Available,,,,Anti-Infective; Pediatric,Current,,
11555,"Amoxicillin Powder, For Suspension",Aurobindo Pharma Usa,866-850-2876,"Powder, For Suspension, 125 Mg/5 Ml (NDC 65862-706-55)",Revised,5/15/24,Available,,,,Anti-Infective; Pediatric,Current,,
11556,"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals Usa, Inc.",800-545-8800,"Amoxicillin For Oral Suspension, Usp, Powder, For Suspension, 400 Mg/5 Ml (NDC 0093-4161-78)",Revised,9/4/24,Available,Estimated Recovery May 2025,,,Anti-Infective; Pediatric,Current,,
11557,"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals Usa, Inc.",800-545-8800,"Amoxicillin For Oral Suspension, Usp, Powder, For Suspension, 400 Mg/5 Ml (NDC 0093-4161-76)",Revised,9/4/24,Available,,,,Anti-Infective; Pediatric,Current,,
11558,"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals Usa, Inc.",800-545-8800,"Amoxicillin For Oral Suspension, Usp, Powder, For Suspension, 400 Mg/5 Ml (NDC 0093-4161-73)",Reverified,9/4/24,Available,Estimated Recovery December 2024,,Demand Increase For The Drug,Anti-Infective,Current,,
11559,"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals Usa, Inc.",800-545-8800,"Amoxicillin For Oral Suspension, Usp, Powder, For Suspension, 200 Mg/5 Ml (NDC 0093-4160-78)",Revised,9/4/24,Available,Estimated Recovery January 2025,,,Anti-Infective; Pediatric,Current,,
11560,"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals Usa, Inc.",800-545-8800,"Amoxicillin For Oral Suspension, Usp, Powder, For Suspension, 200 Mg/5 Ml (NDC 0093-4160-76)",Revised,9/4/24,Available,,,,Anti-Infective; Pediatric,Current,,
11561,"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals Usa, Inc.",800-545-8800,"Amoxicillin For Oral Suspension, Usp, Powder, For Suspension, 200 Mg/5 Ml (NDC 0093-4160-73)",Revised,9/4/24,Available,,,,Anti-Infective; Pediatric,Current,,
11562,"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals Usa, Inc.",800-545-8800,"Amoxicillin For Oral Suspension, Usp, Powder, For Suspension, 250 Mg/5 Ml (NDC 0093-4155-79)",Reverified,9/4/24,Available,Estimated Recovery January 2025,,,Anti-Infective; Pediatric,Current,,
11563,"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals Usa, Inc.",800-545-8800,"Amoxicillin For Oral Suspension, Usp, Powder, For Suspension, 250 Mg/5 Ml (NDC 0093-4155-80)",Reverified,9/4/24,Available,Estimated Recovery November 2024,,,Anti-Infective; Pediatric,Current,,
11564,"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals Usa, Inc.",800-545-8800,"Amoxicillin For Oral Suspension, Usp, Powder, For Suspension, 250 Mg/5 Ml (NDC 0093-4155-73)",Reverified,9/4/24,Available,Estimated Recovery January 2025,,,Anti-Infective; Pediatric,Current,,
11565,"Amoxicillin Powder, For Suspension",Sandoz Inc.,800-525-8747,"Powder, For Suspension, 250 Mg/5 Ml (NDC 0781-6041-58)",Reverified,8/5/24,Limited Availability,,,Demand Increase For The Drug,Anti-Infective; Pediatric,Current,,
11566,"Amoxicillin Powder, For Suspension",Sandoz Inc.,800-525-8747,"Powder, For Suspension, 250 Mg/5 Ml (NDC 0781-6041-55)",Reverified,8/5/24,Available,,,,Anti-Infective; Pediatric,Current,,
11567,"Amoxicillin Powder, For Suspension",Sandoz Inc.,800-525-8747,"Powder, For Suspension, 250 Mg/5 Ml (NDC 0781-6041-46)",Reverified,8/5/24,Limited Availability,,,Demand Increase For The Drug,Anti-Infective; Pediatric,Current,,
11568,"Amoxicillin Powder, For Suspension",Sandoz Inc.,800-545-8747,"Powder, For Suspension, 400 Mg/5 Ml (NDC 0781-6157-57)",Reverified,8/5/24,Limited Availability,,,Demand Increase For The Drug,Anti-Infective; Pediatric,Current,,
11569,"Amoxicillin Powder, For Suspension",Sandoz Inc.,800-525-8747,"Powder, For Suspension, 400 Mg/5 Ml (NDC 0781-6157-52)",Reverified,8/5/24,Limited Availability,,,Demand Increase For The Drug,Anti-Infective; Pediatric,Current,,
11570,"Amoxicillin Powder, For Suspension",Sandoz Inc.,800-525-8747,"Powder, For Suspension, 400 Mg/5 Ml (NDC 0781-6157-46)",Reverified,8/5/24,Limited Availability,,,Demand Increase For The Drug,Anti-Infective; Pediatric,Current,,
11571,"Amoxicillin Powder, For Suspension",Sandoz Inc.,800-525-8747,"Powder, For Suspension, 200 Mg/5 Ml (NDC 0781-6156-57)",Reverified,8/5/24,Limited Availability,,,Demand Increase For The Drug,Anti-Infective; Pediatric,Current,,
11572,"Amoxicillin Powder, For Suspension",Sandoz Inc.,800-525-8747,"Powder, For Suspension, 200 Mg/5 Ml (NDC 0781-6156-52)",Reverified,8/5/24,Available,,,,Anti-Infective; Pediatric,Current,,
11573,"Amoxicillin Powder, For Suspension",Sandoz Inc.,800-525-8747,"Powder, For Suspension, 200 Mg/5 Ml (NDC 0781-6156-46)",Reverified,8/5/24,Available,,,,Anti-Infective; Pediatric,Current,,
11574,"Amoxicillin Powder, For Suspension",Sandoz Inc.,800-525-8747,"Powder, For Suspension, 125 Mg/5 Ml (NDC 0781-6039-58)",Reverified,8/5/24,Available,,,,Anti-Infective; Pediatric,Current,,
11575,"Amoxicillin Powder, For Suspension",Sandoz Inc.,800-525-8747,"Powder, For Suspension, 125 Mg/5 Ml (NDC 0781-6039-55)",Reverified,8/5/24,Available,,,,Anti-Infective; Pediatric,Current,,
11576,"Amoxicillin Powder, For Suspension",Sandoz Inc.,800-525-8747,"Powder, For Suspension, 125 Mg/5 Ml (NDC 0781-6039-46)",Reverified,8/5/24,Available,,,,Anti-Infective; Pediatric,Current,,
11577,"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals Usa, Inc.",800-631-2174,"Powder, For Suspension, 400 Mg/5 Ml (NDC 0143-9887-01)",Reverified,8/28/24,Available,,,,Anti-Infective; Pediatric,Current,,
11578,"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals Usa, Inc.",800-631-2174,"Powder, For Suspension, 250 Mg/5 Ml (NDC 0143-9889-01)",Reverified,8/28/24,Available,,,,Anti-Infective; Pediatric,Current,,
11579,"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals Usa, Inc.",800-631-2174,"Powder, For Suspension, 200 Mg/5 Ml (NDC 0143-9886-01)",Reverified,8/28/24,Available,,,,Anti-Infective; Pediatric,Current,,
11580,"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals Usa, Inc.",800-631-2174,"Powder, For Suspension, 125 Mg/5 Ml (NDC 0143-9888-01)",Reverified,8/28/24,Available,,,,Anti-Infective; Pediatric,Current,,
11581,"Amoxicillin Powder, For Suspension",Aurobindo Pharma Usa,866-850-2876,"Powder, For Suspension, 400 Mg/5 Ml (NDC 65862-071-01)",Revised,5/15/24,Available,,,,Anti-Infective; Pediatric,Current,,
11582,"Amoxicillin Powder, For Suspension",Aurobindo Pharma Usa,866-850-2876,"Powder, For Suspension, 250 Mg/5 Ml (NDC 65862-707-01)",Revised,5/15/24,Available,,,,Anti-Infective; Pediatric,Current,,
11583,"Amoxicillin Powder, For Suspension",Aurobindo Pharma Usa,866-850-2876,"Powder, For Suspension, 200 Mg/5 Ml (NDC 65862-070-01)",Revised,5/15/24,Available,,,,Anti-Infective; Pediatric,Current,,
11584,"Amoxicillin Powder, For Suspension",Aurobindo Pharma Usa,866-850-2876,"Powder, For Suspension, 125 Mg/5 Ml (NDC 65862-706-01)",Revised,5/15/24,Available,,,,Anti-Infective; Pediatric,Current,,
11585,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Granules Pharmaceuticals Inc.,877-770-3183,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 7.5 Mg; 7.5 Mg; 7.5 Mg; 7.5 Mg (NDC 70010-117-01)",Reverified,8/26/24,Available,,,,Psychiatry,Current,,
11586,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Granules Pharmaceuticals Inc.,877-770-3183,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 5 Mg; 5 Mg; 5 Mg; 5 Mg (NDC 70010-116-01)",Reverified,8/26/24,Available,,,,Psychiatry,Current,,
11587,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Granules Pharmaceuticals Inc.,877-770-3183,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 3.75 Mg; 3.75 Mg; 3.75 Mg; 3.75 Mg (NDC 70010-115-01)",Reverified,8/26/24,Available,,,,Psychiatry,Current,,
11588,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Granules Pharmaceuticals Inc.,877-770-3183,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 3.125 Mg; 3.125 Mg; 3.125 Mg; 3.125 Mg (NDC 70010-114-01)",Reverified,7/23/24,Unavailable,Estimated Availability: July 2024,,Shortage Of An Active Ingredient,Psychiatry,Current,,
11589,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Granules Pharmaceuticals Inc.,877-770-3183,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 2.5 Mg; 2.5 Mg; 2.5 Mg; 2.5 Mg (NDC 70010-113-01)",Reverified,8/26/24,Available,,,,Psychiatry,Current,,
11590,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Granules Pharmaceuticals Inc.,877-770-3183,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 1.875 Mg; 1.875 Mg; 1.875 Mg; 1.875 Mg (NDC 70010-112-01)",Reverified,7/23/24,Unavailable,Estimated Availability: July 2024,,Shortage Of An Active Ingredient,Psychiatry,Current,,
11591,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Granules Pharmaceuticals Inc.,877-770-3183,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 1.25 Mg; 1.25 Mg; 1.25 Mg; 1.25 Mg (NDC 70010-111-01)",Reverified,8/26/24,Available,,,,Psychiatry,Current,,
11592,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Elite Laboratories, Inc.",888-852-6657,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 7.5 Mg; 7.5 Mg; 7.5 Mg; 7.5 Mg (NDC 64850-506-01)",Reverified,9/2/24,Available,,,,Psychiatry,Current,,
11593,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Elite Laboratories, Inc.",888-852-6657,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 5 Mg; 5 Mg; 5 Mg; 5 Mg (NDC 64850-505-01)",Reverified,9/2/24,Available,,,,Psychiatry,Current,,
11594,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Elite Laboratories, Inc.",888-852-6657,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 3.75 Mg; 3.75 Mg; 3.75 Mg; 3.75 Mg (NDC 64850-504-01)",Reverified,9/2/24,Available,,,,Psychiatry,Current,,
11595,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Elite Laboratories, Inc.",888-852-6657,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 3.125 Mg; 3.125 Mg; 3.125 Mg; 3.125 Mg (NDC 64850-503-01)",Reverified,9/2/24,Available,,,,Psychiatry,Current,,
11596,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Elite Laboratories, Inc.",888-852-6657,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 2.5 Mg; 2.5 Mg; 2.5 Mg; 2.5 Mg (NDC 64850-502-01)",Reverified,9/2/24,Available,,,,Psychiatry,Current,,
11597,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Elite Laboratories, Inc.",888-852-6657,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 1.875 Mg; 1.875 Mg; 1.875 Mg; 1.875 Mg (NDC 64850-501-01)",Reverified,9/2/24,Available,,,,Psychiatry,Current,,
11598,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Elite Laboratories, Inc.",888-852-6657,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 1.25 Mg; 1.25 Mg; 1.25 Mg; 1.25 Mg (NDC 64850-500-01)",Reverified,9/2/24,Available,,,,Psychiatry,Current,,
11599,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Aurobindo Pharma Usa,(866) 850-2876 Or Customerservice@Aurobindousa.Com,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 2.5 Mg; 2.5 Mg; 2.5 Mg; 2.5 Mg (NDC 13107-070-01)",Revised,1/31/24,Estimated Availability: September 2024,,,Shortage Of An Active Ingredient,Psychiatry,Current,,
11600,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Aurobindo Pharma Usa,(866) 850-2876 Or Customerservice@Aurobindousa.Com,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 1.875 Mg; 1.875 Mg; 1.875 Mg; 1.875 Mg (NDC 13107-069-01)",Revised,1/31/24,Estimated Availability: September 2024,,,Shortage Of An Active Ingredient,Psychiatry,Current,,
11601,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Aurobindo Pharma Usa,(866) 850-2876 Or Customerservice@Aurobindousa.Com,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 1.25 Mg; 1.25 Mg; 1.25 Mg; 1.25 Mg (NDC 13107-068-01)",Revised,1/31/24,Estimated Availability: September 2024,,,Shortage Of An Active Ingredient,Psychiatry,Current,,
11602,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Lannett Company, Inc.",844-834-0530,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 7.5 Mg; 7.5 Mg; 7.5 Mg; 7.5 Mg (NDC 0527-0766-37)",Reverified,9/3/24,Available,,,,Psychiatry,Current,,
11603,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Lannett Company, Inc.",844-834-0530,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 5 Mg; 5 Mg; 5 Mg; 5 Mg (NDC 0527-1505-37)",Reverified,9/3/24,Available,,,,Psychiatry,Current,,
11604,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Lannett Company, Inc.",844-834-0530,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 3.75 Mg; 3.75 Mg; 3.75 Mg; 3.75 Mg (NDC 0527-0764-37)",Reverified,9/3/24,Available,,,,Psychiatry,Current,,
11605,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Lannett Company, Inc.",844-834-0530,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 3.125 Mg; 3.125 Mg; 3.125 Mg; 3.125 Mg (NDC 0527-0763-37)",Reverified,9/3/24,Available,,,,Psychiatry,Current,,
11606,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Lannett Company, Inc.",844-834-0530,"Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 2.5 Mg; 2.5 Mg; 2.5 Mg; 2.5 Mg (NDC 0527-1502-37)",Reverified,9/3/24,Available,,,,Psychiatry,Current,,
