id,generic_name,company_name,presentation,update_type,update_date,availability,related_info,resolved_note,reason_for_shortage,therapeutic_category,status,change_date,date_discontinued
13450,Amino Acid Injection,Otsuka ICU Medical LLC,"Aminosyn-PF 10%, Injection, 0.1 (NDC 0990-4179-05)",Reverified,8/20/25,Unavailable,"Estimated recovery: TBD. This product is distributed by ICU Medical. For questions regarding this product, please contact ICU Medical.",,Shortage of an active ingredient,Gastroenterology,Current,,
13451,Amino Acid Injection,Baxter Healthcare,"Clinisol 15% Sulfite Free In Plastic Container, Injection, 0.15 (NDC 0338-0502-06)",Reverified,9/3/25,Available,,,,Gastroenterology,Current,,
13452,Aminocaproic Acid Tablet,ANI Pharmaceuticals,"Tablet, 500 mg (NDC 62559-225-30)",New,11/7/24,,"ANI anticipates ceasing distribution on November 30, 2024.",,,Cardiovascular; Hematology; Other,To Be Discontinued,,11/7/24
13453,Amlodipine Besylate; Benazepril Hydrochloride Capsule,Aurobindo Pharma USA,"Amlodipine Besylate; Benazepril Hydrochloride, Capsule, 2.5 mg; 10 mg (NDC 65862-582-01)",New,3/4/25,,,,,Cardiovascular,To Be Discontinued,,3/4/25
13454,Amlodipine Besylate; Benazepril Hydrochloride Capsule,Aurobindo Pharma USA,"Amlodipine Besylate; Benazepril Hydrochloride, Capsule, 5 mg; 10 mg (NDC 65862-583-01)",New,3/4/25,,,,,Cardiovascular,To Be Discontinued,,3/4/25
13455,Amlodipine Besylate; Benazepril Hydrochloride Capsule,Aurobindo Pharma USA,"Amlodipine Besylate; Benazepril Hydrochloride, Capsule, 5 mg; 10 mg (NDC 65862-583-05)",New,3/4/25,,,,,Cardiovascular,To Be Discontinued,,3/4/25
13456,Amlodipine Besylate; Benazepril Hydrochloride Capsule,Aurobindo Pharma USA,"Amlodipine Besylate; Benazepril Hydrochloride, Capsule, 5 mg; 20 mg (NDC 65862-584-01)",New,3/4/25,,,,,Cardiovascular,To Be Discontinued,,3/4/25
13457,Amlodipine Besylate; Benazepril Hydrochloride Capsule,Aurobindo Pharma USA,"Amlodipine Besylate; Benazepril Hydrochloride, Capsule, 5 mg; 20 mg (NDC 65862-584-05)",New,3/4/25,,,,,Cardiovascular,To Be Discontinued,,3/4/25
13458,Amlodipine Besylate; Benazepril Hydrochloride Capsule,Aurobindo Pharma USA,"Amlodipine Besylate; Benazepril Hydrochloride, Capsule, 5 mg; 40 mg (NDC 65862-585-01)",New,3/4/25,,,,,Cardiovascular,To Be Discontinued,,3/4/25
13459,Amlodipine Besylate; Benazepril Hydrochloride Capsule,Aurobindo Pharma USA,"Amlodipine Besylate; Benazepril Hydrochloride, Capsule, 5 mg; 40 mg (NDC 65862-585-05)",New,3/4/25,,,,,Cardiovascular,To Be Discontinued,,3/4/25
13460,Amlodipine Besylate; Benazepril Hydrochloride Capsule,Aurobindo Pharma USA,"Amlodipine Besylate; Benazepril Hydrochloride, Capsule, 10 mg; 20 mg (NDC 65862-586-01)",New,3/4/25,,,,,Cardiovascular,To Be Discontinued,,3/4/25
13461,Amlodipine Besylate; Benazepril Hydrochloride Capsule,Aurobindo Pharma USA,"Amlodipine Besylate; Benazepril Hydrochloride, Capsule, 10 mg; 20 mg (NDC 65862-586-05)",New,3/4/25,,,,,Cardiovascular,To Be Discontinued,,3/4/25
13462,Amlodipine Besylate; Benazepril Hydrochloride Capsule,Aurobindo Pharma USA,"Amlodipine Besylate; Benazepril Hydrochloride, Capsule, 10 mg; 40 mg (NDC 65862-587-01)",New,3/4/25,,,,,Cardiovascular,To Be Discontinued,,3/4/25
13463,Amlodipine Besylate; Benazepril Hydrochloride Capsule,Novartis Pharmaceuticals Corporation,"Lotrel, Capsule, 10 mg; 20 mg (NDC 0078-0364-05)",New,6/24/25,,Permanent discontinuation in the manufacturing of the drug,,,Cardiovascular,To Be Discontinued,,6/24/25
13464,Amlodipine Besylate; Benazepril Hydrochloride Capsule,Novartis Pharmaceuticals Corporation,"Lotrel, Capsule, 10 mg; 40 mg (NDC 0078-0379-05)",New,6/24/25,,Permanent discontinuation in the manufacturing of the drug,,,Cardiovascular,To Be Discontinued,,6/24/25
13465,Amlodipine Besylate; Benazepril Hydrochloride Capsule,Novartis Pharmaceuticals Corporation,"Lotrel, Capsule, 5 mg; 10 mg (NDC 0078-0405-05)",New,6/24/25,,Permanent discontinuation in the manufacturing of the drug,,,Cardiovascular,To Be Discontinued,,6/24/25
13466,Amlodipine Besylate; Benazepril Hydrochloride Capsule,Novartis Pharmaceuticals Corporation,"Lotrel, Capsule, 5 mg; 20 mg (NDC 0078-0406-05)",New,6/24/25,,Permanent discontinuation in the manufacturing of the drug,,,Cardiovascular,To Be Discontinued,,6/24/25
13467,Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,Torrent Pharma Inc.,"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 10 mg; 25 mg; 40 mg (NDC 13668-382-05)",New,6/13/25,,A business decision was made to discontinue manufacture of the product.,,,Cardiovascular,To Be Discontinued,,6/13/25
13468,Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,Torrent Pharma Inc.,"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 10 mg; 25 mg; 40 mg (NDC 13668-382-30)",New,6/13/25,,A business decision was made to discontinue manufacture of the product.,,,Cardiovascular,To Be Discontinued,,6/13/25
13469,Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,Torrent Pharma Inc.,"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 10 mg; 25 mg; 40 mg (NDC 13668-382-90)",New,6/13/25,,A business decision was made to discontinue manufacture of the product.,,,Cardiovascular,To Be Discontinued,,6/13/25
13470,Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,Torrent Pharma Inc.,"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 10 mg; 12.5 mg; 40 mg (NDC 13668-383-05)",New,6/13/25,,A business decision was made to discontinue manufacture of the product.,,,Cardiovascular,To Be Discontinued,,6/13/25
13471,Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,Torrent Pharma Inc.,"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 10 mg; 12.5 mg; 40 mg (NDC 13668-383-30)",New,6/13/25,,A business decision was made to discontinue manufacture of the product.,,,Cardiovascular,To Be Discontinued,,6/13/25
13472,Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,Torrent Pharma Inc.,"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 10 mg; 12.5 mg; 40 mg (NDC 13668-383-90)",New,6/13/25,,A business decision was made to discontinue manufacture of the product.,,,Cardiovascular,To Be Discontinued,,6/13/25
13473,Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,Torrent Pharma Inc.,"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 5 mg; 25 mg; 40 mg (NDC 13668-385-05)",New,6/13/25,,A business decision was made to discontinue manufacture of the product.,,,Cardiovascular,To Be Discontinued,,6/13/25
13474,Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,Torrent Pharma Inc.,"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 5 mg; 25 mg; 40 mg (NDC 13668-385-30)",New,6/13/25,,A business decision was made to discontinue manufacture of the product.,,,Cardiovascular,To Be Discontinued,,6/13/25
13475,Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,Torrent Pharma Inc.,"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 5 mg; 25 mg; 40 mg (NDC 13668-385-90)",New,6/13/25,,A business decision was made to discontinue manufacture of the product.,,,Cardiovascular,To Be Discontinued,,6/13/25
13476,Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,Torrent Pharma Inc.,"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 5 mg; 12.5 mg; 40 mg (NDC 13668-386-05)",New,6/13/25,,A business decision was made to discontinue manufacture of the product.,,,Cardiovascular,To Be Discontinued,,6/13/25
13477,Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,Torrent Pharma Inc.,"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 5 mg; 12.5 mg; 40 mg (NDC 13668-386-30)",New,6/13/25,,A business decision was made to discontinue manufacture of the product.,,,Cardiovascular,To Be Discontinued,,6/13/25
13478,Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,Torrent Pharma Inc.,"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 5 mg; 12.5 mg; 40 mg (NDC 13668-386-90)",New,6/13/25,,A business decision was made to discontinue manufacture of the product.,,,Cardiovascular,To Be Discontinued,,6/13/25
13479,Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,Torrent Pharma Inc.,"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 5 mg; 12.5 mg; 20 mg (NDC 13668-397-05)",New,6/13/25,,A business decision was made to discontinue manufacture of the product.,,,Cardiovascular,To Be Discontinued,,6/13/25
13480,Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,Torrent Pharma Inc.,"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 5 mg; 12.5 mg; 20 mg (NDC 13668-397-30)",New,6/13/25,,A business decision was made to discontinue manufacture of the product.,,,Cardiovascular,To Be Discontinued,,6/13/25
13481,Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,Torrent Pharma Inc.,"Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil, Tablet, 5 mg; 12.5 mg; 20 mg (NDC 13668-397-90)",New,6/13/25,,A business decision was made to discontinue manufacture of the product.,,,Cardiovascular,To Be Discontinued,,6/13/25
13482,"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","Amoxicillin, Powder, For Suspension, 200 mg/5 mL (NDC 0093-4160-73)",Revised,5/2/25,,,Available,,Anti-Infective; Pediatric,Resolved,5/2/25,
13483,"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","Amoxicillin, Powder, For Suspension, 200 mg/5 mL (NDC 0093-4160-76)",Revised,5/2/25,,,Available,,Anti-Infective; Pediatric,Resolved,5/2/25,
13484,"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","Amoxicillin, Powder, For Suspension, 200 mg/5 mL (NDC 0093-4160-78)",Revised,5/2/25,,,Available,,Anti-Infective; Pediatric,Resolved,5/2/25,
13485,"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","Amoxicillin, Powder, For Suspension, 400 mg/5 mL (NDC 0093-4161-73)",Revised,5/2/25,,,Available,,Anti-Infective,Resolved,5/2/25,
13486,"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","Amoxicillin, Powder, For Suspension, 400 mg/5 mL (NDC 0093-4161-76)",Revised,5/2/25,,,Available,,Anti-Infective; Pediatric,Resolved,5/2/25,
13487,"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","Amoxicillin, Powder, For Suspension, 400 mg/5 mL (NDC 0093-4161-78)",Revised,5/2/25,,,Available,,Anti-Infective; Pediatric,Resolved,5/2/25,
13488,"Amoxicillin Powder, For Suspension",Aurobindo Pharma USA,"Amoxicillin, Powder, For Suspension, 125 mg/5 mL (NDC 65862-706-55)",Revised,5/2/25,,,Available,,Anti-Infective; Pediatric,Resolved,5/2/25,
13489,"Amoxicillin Powder, For Suspension",Aurobindo Pharma USA,"Amoxicillin, Powder, For Suspension, 125 mg/5 mL (NDC 65862-706-80)",Revised,5/2/25,,,Available,,Anti-Infective; Pediatric,Resolved,5/2/25,
13490,"Amoxicillin Powder, For Suspension",Aurobindo Pharma USA,"Amoxicillin, Powder, For Suspension, 200 mg/5 mL (NDC 65862-070-50)",Revised,5/2/25,,,Available,,Anti-Infective; Pediatric,Resolved,5/2/25,
13491,"Amoxicillin Powder, For Suspension",Aurobindo Pharma USA,"Amoxicillin, Powder, For Suspension, 200 mg/5 mL (NDC 65862-070-75)",Revised,5/2/25,,,Available,,Anti-Infective; Pediatric,Resolved,5/2/25,
13492,"Amoxicillin Powder, For Suspension",Aurobindo Pharma USA,"Amoxicillin, Powder, For Suspension, 250 mg/5 mL (NDC 65862-707-55)",Revised,5/2/25,,,Available,,Anti-Infective; Pediatric,Resolved,5/2/25,
13493,"Amoxicillin Powder, For Suspension",Aurobindo Pharma USA,"Amoxicillin, Powder, For Suspension, 250 mg/5 mL (NDC 65862-707-80)",Revised,5/2/25,,,Available,,Anti-Infective; Pediatric,Resolved,5/2/25,
13494,"Amoxicillin Powder, For Suspension",Aurobindo Pharma USA,"Amoxicillin, Powder, For Suspension, 400 mg/5 mL (NDC 65862-071-50)",Revised,5/2/25,,,Available,,Anti-Infective; Pediatric,Resolved,5/2/25,
13495,"Amoxicillin Powder, For Suspension",Aurobindo Pharma USA,"Amoxicillin, Powder, For Suspension, 400 mg/5 mL (NDC 65862-071-75)",Revised,5/2/25,,,Available,,Anti-Infective; Pediatric,Resolved,5/2/25,
13496,"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","Amoxicillin, Powder, For Suspension, 125 mg/5 mL (NDC 0143-9888-15)",Revised,5/2/25,,,Available,,Anti-Infective; Pediatric,Resolved,5/2/25,
13497,"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","Amoxicillin, Powder, For Suspension, 125 mg/5 mL (NDC 0143-9888-80)",Revised,5/2/25,,,Available,,Anti-Infective; Pediatric,Resolved,5/2/25,
13498,"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","Amoxicillin, Powder, For Suspension, 200 mg/5 mL (NDC 0143-9886-50)",Revised,5/2/25,,,Available,,Anti-Infective; Pediatric,Resolved,5/2/25,
13499,"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","Amoxicillin, Powder, For Suspension, 200 mg/5 mL (NDC 0143-9886-75)",Revised,5/2/25,,,Available,,Anti-Infective; Pediatric,Resolved,5/2/25,
13500,"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","Amoxicillin, Powder, For Suspension, 250 mg/5 mL (NDC 0143-9889-15)",Revised,5/2/25,,,Available,,Anti-Infective; Pediatric,Resolved,5/2/25,
13501,"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","Amoxicillin, Powder, For Suspension, 250 mg/5 mL (NDC 0143-9889-80)",Revised,5/2/25,,,Available,,Anti-Infective; Pediatric,Resolved,5/2/25,
13502,"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","Amoxicillin, Powder, For Suspension, 400 mg/5 mL (NDC 0143-9887-50)",Revised,5/2/25,,,Available,,Anti-Infective; Pediatric,Resolved,5/2/25,
13503,"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","Amoxicillin, Powder, For Suspension, 400 mg/5 mL (NDC 0143-9887-75)",Revised,5/2/25,,,Available,,Anti-Infective; Pediatric,Resolved,5/2/25,
13504,"Amoxicillin Powder, For Suspension",Aurobindo Pharma USA,"Amoxicillin, Powder, For Suspension, 125 mg/5 mL (NDC 65862-706-01)",Revised,5/2/25,,,Available,,Anti-Infective; Pediatric,Resolved,5/2/25,
13505,"Amoxicillin Powder, For Suspension",Aurobindo Pharma USA,"Amoxicillin, Powder, For Suspension, 200 mg/5 mL (NDC 65862-070-01)",Revised,5/2/25,,,Available,,Anti-Infective; Pediatric,Resolved,5/2/25,
